date,action,symbol,vintage_formed,weight
2022-03-31,BUY,ADH,2022-03-31,0.016666666666666666
2022-03-31,BUY,ADI,2022-03-31,0.016666666666666666
2022-03-31,BUY,JET,2022-03-31,0.016666666666666666
2022-04-30,EARLY_EXIT,JET,2022-03-31,0.016666666666666666
2022-04-30,GATE_BLOCK,JET,2022-04-30,0.016666666666666666
2022-04-30,BUY,ADH,2022-04-30,0.016666666666666666
2022-04-30,BUY,ADI,2022-04-30,0.016666666666666666
2022-05-31,BUY,ADH,2022-05-31,0.016666666666666666
2022-05-31,BUY,ADI,2022-05-31,0.016666666666666666
2022-06-30,EARLY_EXIT,ADH,2022-03-31,0.016666666666666666
2022-06-30,EARLY_EXIT,ADH,2022-04-30,0.016666666666666666
2022-06-30,EARLY_EXIT,ADH,2022-05-31,0.016666666666666666
2022-06-30,GATE_BLOCK,ADH,2022-06-30,0.016666666666666666
2022-06-30,BUY,ADI,2022-06-30,0.016666666666666666
2022-07-31,GATE_BLOCK,ADH,2022-07-31,0.016666666666666666
2022-07-31,BUY,ADI,2022-07-31,0.016666666666666666
2022-08-31,GATE_BLOCK,ADH,2022-08-31,0.016666666666666666
2022-08-31,BUY,ADI,2022-08-31,0.016666666666666666
2022-09-30,SELL,ADI,2022-03-31,0.016666666666666666
2022-09-30,GATE_BLOCK,ADH,2022-09-30,0.016666666666666666
2022-09-30,GATE_BLOCK,JET,2022-09-30,0.016666666666666666
2022-09-30,BUY,ADI,2022-09-30,0.016666666666666666
2022-10-31,SELL,ADI,2022-04-30,0.016666666666666666
2022-10-31,GATE_BLOCK,ADH,2022-10-31,0.016666666666666666
2022-10-31,BUY,ADI,2022-10-31,0.016666666666666666
2022-11-30,EARLY_EXIT,ADI,2022-06-30,0.016666666666666666
2022-11-30,EARLY_EXIT,ADI,2022-07-31,0.016666666666666666
2022-11-30,EARLY_EXIT,ADI,2022-08-31,0.016666666666666666
2022-11-30,EARLY_EXIT,ADI,2022-09-30,0.016666666666666666
2022-11-30,EARLY_EXIT,ADI,2022-10-31,0.016666666666666666
2022-11-30,SELL,ADI,2022-05-31,0.016666666666666666
2022-11-30,GATE_BLOCK,ADH,2022-11-30,0.016666666666666666
2022-11-30,GATE_BLOCK,ADI,2022-11-30,0.016666666666666666
2022-12-31,GATE_BLOCK,ADH,2022-12-31,0.016666666666666666
2022-12-31,GATE_BLOCK,ADI,2022-12-31,0.016666666666666666
2022-12-31,BUY,JET,2022-12-31,0.016666666666666666
2023-01-31,LATE_BUY,ADI,2022-11-30,0.016666666666666666
2023-01-31,LATE_BUY,ADI,2022-12-31,0.016666666666666666
2023-01-31,GATE_BLOCK,ADH,2023-01-31,0.016666666666666666
2023-01-31,BUY,ADI,2023-01-31,0.016666666666666666
2023-02-28,GATE_BLOCK,ADH,2023-02-28,0.016666666666666666
2023-02-28,BUY,ADI,2023-02-28,0.016666666666666666
2023-02-28,BUY,JET,2023-02-28,0.016666666666666666
2023-03-31,GATE_BLOCK,ADH,2023-03-31,0.016666666666666666
2023-03-31,BUY,ADI,2023-03-31,0.016666666666666666
2023-04-30,GATE_BLOCK,ADH,2023-04-30,0.016666666666666666
2023-04-30,GATE_BLOCK,BCP,2023-04-30,0.016666666666666666
2023-04-30,GATE_BLOCK,CDM,2023-04-30,0.016666666666666666
2023-04-30,BUY,ADI,2023-04-30,0.016666666666666666
2023-04-30,BUY,ARD,2023-04-30,0.016666666666666666
2023-04-30,BUY,BCI,2023-04-30,0.016666666666666666
2023-04-30,BUY,BOA,2023-04-30,0.016666666666666666
2023-04-30,BUY,RDS,2023-04-30,0.016666666666666666
2023-04-30,BUY,RIS,2023-04-30,0.016666666666666666
2023-04-30,BUY,SID,2023-04-30,0.016666666666666666
2023-05-31,LATE_BUY,ADH,2023-03-31,0.016666666666666666
2023-05-31,LATE_BUY,ADH,2023-04-30,0.016666666666666666
2023-05-31,LATE_BUY,CDM,2023-04-30,0.016666666666666666
2023-05-31,SELL,ADI,2022-11-30,0.016666666666666666
2023-05-31,GATE_BLOCK,BCP,2023-05-31,0.014583333333333335
2023-05-31,BUY,ADH,2023-05-31,0.014583333333333335
2023-05-31,BUY,ADI,2023-05-31,0.014583333333333335
2023-05-31,BUY,ARD,2023-05-31,0.014583333333333335
2023-05-31,BUY,BCI,2023-05-31,0.014583333333333335
2023-05-31,BUY,BOA,2023-05-31,0.014583333333333335
2023-05-31,BUY,CDM,2023-05-31,0.014583333333333335
2023-05-31,BUY,DHO,2023-05-31,0.016666666666666666
2023-05-31,BUY,RDS,2023-05-31,0.014583333333333335
2023-05-31,BUY,RIS,2023-05-31,0.016666666666666666
2023-05-31,BUY,SID,2023-05-31,0.016666666666666666
2023-06-30,LATE_BUY,BCP,2023-04-30,0.016666666666666666
2023-06-30,LATE_BUY,BCP,2023-05-31,0.014583333333333335
2023-06-30,SELL,ADI,2022-12-31,0.016666666666666666
2023-06-30,SELL,JET,2022-12-31,0.016666666666666666
2023-06-30,BUY,ADH,2023-06-30,0.012499999999999999
2023-06-30,BUY,ADI,2023-06-30,0.012499999999999999
2023-06-30,BUY,ARD,2023-06-30,0.012499999999999999
2023-06-30,BUY,BCI,2023-06-30,0.012499999999999999
2023-06-30,BUY,BCP,2023-06-30,0.012499999999999999
2023-06-30,BUY,BOA,2023-06-30,0.012499999999999999
2023-06-30,BUY,CDM,2023-06-30,0.012499999999999999
2023-06-30,BUY,DHO,2023-06-30,0.016666666666666666
2023-06-30,BUY,JET,2023-06-30,0.016666666666666666
2023-06-30,BUY,RDS,2023-06-30,0.012499999999999999
2023-06-30,BUY,RIS,2023-06-30,0.016666666666666666
2023-06-30,BUY,SID,2023-06-30,0.016666666666666666
2023-07-31,SELL,ADI,2023-01-31,0.016666666666666666
2023-07-31,BUY,ADH,2023-07-31,0.012499999999999999
2023-07-31,BUY,ADI,2023-07-31,0.012499999999999999
2023-07-31,BUY,ARD,2023-07-31,0.012499999999999999
2023-07-31,BUY,BCI,2023-07-31,0.012499999999999999
2023-07-31,BUY,BCP,2023-07-31,0.012499999999999999
2023-07-31,BUY,BOA,2023-07-31,0.012499999999999999
2023-07-31,BUY,CDM,2023-07-31,0.012499999999999999
2023-07-31,BUY,DHO,2023-07-31,0.013333333333333334
2023-07-31,BUY,EQD,2023-07-31,0.013333333333333334
2023-07-31,BUY,JET,2023-07-31,0.013333333333333334
2023-07-31,BUY,RDS,2023-07-31,0.012499999999999999
2023-07-31,BUY,RIS,2023-07-31,0.013333333333333334
2023-07-31,BUY,SID,2023-07-31,0.013333333333333334
2023-08-31,SELL,ADI,2023-02-28,0.016666666666666666
2023-08-31,SELL,JET,2023-02-28,0.016666666666666666
2023-08-31,BUY,ADH,2023-08-31,0.016666666666666666
2023-08-31,BUY,ADI,2023-08-31,0.016666666666666666
2023-08-31,BUY,BCI,2023-08-31,0.016666666666666666
2023-08-31,BUY,BCP,2023-08-31,0.016666666666666666
2023-08-31,BUY,BOA,2023-08-31,0.016666666666666666
