source,horizon,n,syms,min_date,max_date
wfo:legacy_ta_simple,quarterly,207389,21,2009-01-09,2026-06-02
wfo:legacy_ta_simple,monthly,184205,51,2002-01-09,2026-07-08
wfo:legacy_ta_simple,weekly,183222,77,2001-01-24,2026-06-01
wfo:expanded_ta_simple,weekly,181480,77,2001-01-30,2026-06-01
wfo:expanded_ta_simple,quarterly,179987,21,2009-10-26,2026-06-02
wfo:expanded_ta_combo,weekly,169484,75,2001-01-24,2026-06-01
wfo:legacy_ta_combo,quarterly,160468,21,2009-01-14,2026-06-01
wfo:expanded_ta_simple,monthly,154141,41,2018-01-04,2026-05-21
wfo:legacy_ta_combo,monthly,139268,51,2017-11-06,2026-06-02
wfo:legacy_ta_combo,weekly,137640,77,2021-10-13,2026-05-26
wfo:expanded_ta_combo,monthly,126314,50,2002-01-04,2026-07-08
wfo:expanded_ta_combo,quarterly,117721,19,2003-08-04,2026-06-02
wfo:legacy_factor_x_ta_simple,weekly,58404,29,2001-01-30,2026-05-21
wfo:expanded_factor_x_ta_simple,weekly,58404,29,2001-01-30,2026-05-21
wfo:expanded_factor_x_ta_combo,weekly,58404,29,2001-01-30,2026-05-21
wfo:expanded_factor_x_ta_combo,monthly,44044,21,2018-04-09,2026-05-21
wfo:legacy_factor_x_ta_simple,monthly,43993,21,2018-04-09,2026-07-06
wfo:legacy_factor_x_ta_combo,weekly,43803,29,2001-01-30,2026-05-21
wfo:expanded_factor_x_ta_combo,quarterly,40840,7,2003-08-11,2026-05-21
wfo:legacy_factor_x_ta_simple,quarterly,38884,7,2003-08-11,2026-05-21
wfo:expanded_factor_x_ta_simple,monthly,35860,15,2018-06-08,2026-05-21
wfo:expanded_factor_x_ta_simple,quarterly,34788,7,2004-08-17,2026-05-19
wfo:legacy_factor_x_ta_combo,monthly,33033,21,2018-04-09,2026-05-21
wfo:legacy_factor_x_ta_combo,quarterly,30630,7,2003-08-11,2026-05-21
