as_of_date,n_active_vintages,n_holdings,gross_return,turnover,cost,net_return,stale_price_events,cash_weight,n_pending,n_confirmed_late,n_early_exits,gate_blocked_weight
2017-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2017-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2017-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2017-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2017-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2017-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2017-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2017-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2017-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2017-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2018-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2018-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2018-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2018-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2018-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2018-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2018-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2018-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2018-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2018-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2018-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2018-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2019-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2019-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
2019-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
