as_of_date,n_active_vintages,n_holdings,gross_return,turnover,cost,net_return,stale_price_events,cash_weight,n_pending,n_confirmed_late,n_early_exits,gate_blocked_weight
2017-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-02-29,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-03-31,1,3,0.0,0.05,0.00033,-0.00033,0,0.95,0,0,0,0.0
2022-04-30,2,3,0.005058635688406773,0.016666666666666666,0.00011,0.004948635688406773,3,0.9166666666666666,1,0,0,0.016666666666666666
2022-05-31,3,3,-0.0054253201378104575,0.01666666666666667,0.00011000000000000002,-0.005535320137810457,5,0.8833333333333333,2,0,0,0.03333333333333333
2022-06-30,4,3,-0.006893356403160319,0.008333333333333331,5.499999999999999e-05,-0.0069483564031603195,0,0.8666666666666667,4,0,0,0.06666666666666667
2022-07-31,5,3,-0.006451755400907953,0.008333333333333331,5.499999999999999e-05,-0.006506755400907953,8,0.85,6,0,0,0.1
2022-08-31,6,3,0.01823183512734411,0.008333333333333331,5.499999999999999e-05,0.01817683512734411,9,0.8333333333333334,8,0,0,0.13333333333333333
2022-09-30,6,2,-0.0032518151006464533,0.01666666666666667,0.00011000000000000002,-0.003361815100646453,0,0.8666666666666667,10,0,0,0.16666666666666666
2022-10-31,6,2,-0.012782030749351565,0.008333333333333333,5.5e-05,-0.012837030749351564,0,0.8833333333333333,11,0,0,0.18333333333333332
2022-11-30,6,1,-0.0014769510288587433,0.016666666666666663,0.00010999999999999998,-0.0015869510288587434,0,0.9166666666666666,13,0,0,0.21666666666666667
2022-12-31,6,2,-0.00730994152046784,0.03333333333333333,0.00022,-0.00752994152046784,5,0.8833333333333333,11,2,0,0.18333333333333332
2023-01-31,6,2,-0.0013212596465023653,0.024999999999999994,0.00016499999999999997,-0.0014862596465023653,7,0.8333333333333334,8,2,0,0.13333333333333333
2023-02-28,6,2,0.009117621640307664,0.008333333333333331,5.499999999999999e-05,0.009062621640307664,0,0.8166666666666667,7,0,0,0.11666666666666667
2023-03-31,6,2,0.010522067363530771,0.008333333333333331,5.499999999999999e-05,0.010467067363530771,0,0.8,6,0,0,0.1
2023-04-30,6,17,0.0018705099554309768,0.07083333333333333,0.0004675,0.0014030099554309767,12,0.6916666666666667,8,0,0,0.10833333333333334
2023-05-31,6,19,0.022333328992798152,0.09583333333333333,0.0006324999999999999,0.02170082899279815,27,0.5333333333333333,5,3,0,0.06666666666666667
2023-06-30,6,20,0.027749301895761788,0.09166666666666667,0.0006050000000000001,0.027144301895761787,47,0.3833333333333333,2,2,0,0.03333333333333333
2023-07-31,6,20,0.02895804564348638,0.08333333333333331,0.0005499999999999999,0.028408045643486382,67,0.25,1,0,0,0.016666666666666666
2023-08-31,6,20,0.01184600260439172,0.08333333333333331,0.0005499999999999999,0.01129600260439172,0,0.1166666666666667,0,0,0,0.0
2023-09-30,6,20,0.0400633742809586,0.08333333333333331,0.0005499999999999999,0.0395133742809586,103,1.1102230246251565e-16,0,0,0,0.0
2023-10-31,6,20,0.03014813820101309,0.0,0.0,0.03014813820101309,120,1.1102230246251565e-16,0,0,0,0.0
2023-11-30,6,20,-0.023177069265166467,0.0,0.0,-0.023177069265166467,0,1.1102230246251565e-16,0,0,0,0.0
2023-12-31,6,20,-0.010106560424471795,0.0,0.0,-0.010106560424471795,120,1.1102230246251565e-16,0,0,0,0.0
2024-01-31,6,20,0.07387411503298667,0.0,0.0,0.07387411503298667,120,1.1102230246251565e-16,0,0,0,0.0
2024-02-29,6,20,0.035683222395197105,0.02916666666666666,0.00019249999999999996,0.03549072239519711,0,0.05833333333333335,7,0,0,0.058333333333333334
2024-03-31,6,21,0.03609840142588628,0.04583333333333332,0.0003024999999999999,0.03579590142588628,113,0.10000000000000009,12,2,0,0.1
2024-04-30,6,22,0.14613840877017512,0.04999999999999999,0.00032999999999999994,0.14580840877017512,108,0.1166666666666667,14,3,0,0.11666666666666667
2024-05-31,6,23,0.01111578461807275,0.05416666666666667,0.0003575,0.01075828461807275,0,0.14166666666666672,17,2,0,0.14166666666666666
2024-06-30,6,23,-0.005953232909327789,0.041666666666666664,0.00027499999999999996,-0.0062282329093277895,103,0.19166666666666676,23,0,0,0.19166666666666665
2024-07-31,6,21,0.03087251989537896,0.04583333333333334,0.00030250000000000003,0.03057001989537896,97,0.20000000000000007,24,4,0,0.2
2024-08-31,6,20,0.05578694497729989,0.06666666666666667,0.00044,0.05534694497729989,96,0.13333333333333341,16,7,0,0.13333333333333333
2024-09-30,6,20,0.036493787721262994,0.02916666666666666,0.00019249999999999996,0.036301287721262995,104,0.09166666666666679,11,2,0,0.09166666666666666
2024-10-31,6,20,0.012453667591180793,0.02083333333333333,0.00013749999999999998,0.012316167591180793,0,0.06666666666666676,8,0,0,0.06666666666666667
2024-11-30,6,19,0.02464157464559486,0.016666666666666663,0.00010999999999999998,0.024531574645594863,112,0.050000000000000044,6,0,0,0.05
2024-12-31,6,19,0.016352495553045878,0.0,0.0,0.016352495553045878,114,0.050000000000000044,6,0,0,0.05
2025-01-31,6,19,0.15365295890764225,0.008333333333333331,5.499999999999999e-05,0.15359795890764225,0,0.06666666666666676,8,0,0,0.06666666666666667
2025-02-28,6,19,-0.0002248665160333609,0.012499999999999997,8.249999999999999e-05,-0.0003073665160333609,0,0.07500000000000007,9,1,0,0.075
2025-03-31,6,22,0.047306807931264454,0.039880952380952364,0.0002632142857142856,0.04704359364555017,111,0.07380952380952388,9,2,0,0.07380952380952381
