as_of_date,n_active_vintages,n_holdings,gross_return,turnover,cost,net_return,stale_price_events,cash_weight,n_pending,n_confirmed_late,n_early_exits,gate_blocked_weight
2017-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-02-29,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-03-31,1,3,0.0,0.05,0.00033,-0.00033,0,0.95,0,0,0,0.0
2022-04-30,2,2,0.005058635688406773,0.025,0.000165,0.004893635688406773,3,0.9333333333333333,1,0,1,0.016666666666666666
2022-05-31,3,2,-0.003947487625495186,0.01666666666666667,0.00011000000000000002,-0.004057487625495186,4,0.9,1,0,0,0.016666666666666666
2022-06-30,4,1,-0.0077942573040612195,0.03333333333333333,0.00022,-0.00801425730406122,0,0.9333333333333333,2,0,3,0.03333333333333333
2022-07-31,5,1,-0.005118644067796614,0.008333333333333331,5.499999999999999e-05,-0.0051736440677966145,4,0.9166666666666666,3,0,0,0.05
2022-08-31,6,1,0.014273912245272616,0.008333333333333331,5.499999999999999e-05,0.014218912245272617,5,0.9,4,0,0,0.06666666666666667
2022-09-30,6,1,0.0002978056426332421,0.0,0.0,0.0002978056426332421,0,0.9,6,0,0,0.1
2022-10-31,6,1,-0.01014220972026879,0.0,0.0,-0.01014220972026879,0,0.9,6,0,0,0.1
2022-11-30,6,0,-0.0008695652173912993,0.09999999999999999,0.0006599999999999999,-0.001529565217391299,0,1.0,8,0,5,0.13333333333333333
2022-12-31,6,1,0.0,0.016666666666666666,0.00011,-0.00011,0,0.9833333333333333,9,0,0,0.15
2023-01-31,6,2,-0.0005258899676375403,0.025,0.000165,-0.0006908899676375403,1,0.9333333333333333,7,2,0,0.11666666666666667
2023-02-28,6,2,0.004099328781724424,0.016666666666666663,0.00010999999999999998,0.003989328781724424,0,0.9,7,0,0,0.11666666666666667
2023-03-31,6,2,0.007123112659698021,0.008333333333333331,5.499999999999999e-05,0.007068112659698021,0,0.8833333333333333,6,0,0,0.1
2023-04-30,6,8,0.002539150453055228,0.058333333333333334,0.000385,0.002154150453055228,7,0.7666666666666666,8,0,0,0.13333333333333333
2023-05-31,6,11,0.025653877276550864,0.09479166666666666,0.000625625,0.025028252276550863,14,0.58125,5,3,0,0.08125
2023-06-30,6,12,0.03920960631802002,0.08645833333333333,0.000570625,0.03863898131802002,26,0.41666666666666663,2,2,0,0.03333333333333333
2023-07-31,6,13,0.032457432025405644,0.07916666666666666,0.0005225,0.03193493202540564,38,0.2666666666666667,1,0,0,0.016666666666666666
2023-08-31,6,13,0.019383298006545584,0.06666666666666665,0.0004399999999999999,0.018943298006545584,0,0.13333333333333341,0,0,0,0.0
2023-09-30,6,13,0.07640557795828494,0.07500000000000001,0.0004950000000000001,0.07591057795828494,58,1.1102230246251565e-16,0,0,0,0.0
2023-10-31,6,13,0.03481753564374602,0.03333333333333333,0.00022,0.03459753564374602,68,0.0,0,0,0,0.0
2023-11-30,6,13,-0.019498257254128952,0.043750000000000004,0.00028875000000000005,-0.019787007254128953,0,0.03333333333333344,0,0,0,0.0
2023-12-31,6,13,0.004615195479347433,0.020833333333333332,0.00013749999999999998,0.0044776954793474336,66,0.03333333333333344,0,0,0,0.0
2024-01-31,6,13,0.11480561007181686,0.01333333333333332,8.799999999999992e-05,0.11471761007181686,66,0.03333333333333344,0,0,0,0.0
2024-02-29,6,13,0.06754587652570174,0.03833333333333333,0.00025299999999999997,0.06729287652570173,0,0.03333333333333344,0,0,0,0.0
2024-03-31,6,14,0.05129966718166304,0.04125,0.00027225000000000003,0.05102741718166304,68,0.04500000000000004,1,0,0,0.011666666666666665
2024-04-30,6,15,0.1880976423917819,0.05083333333333337,0.00033550000000000024,0.1877621423917819,67,0.05500000000000005,2,0,0,0.021666666666666667
2024-05-31,6,16,-0.009811178060994389,0.060833333333333336,0.0004015,-0.01021267806099439,0,0.0,0,2,0,0.0
2024-06-30,6,15,-0.01033474734739456,0.054583333333333366,0.0003602500000000002,-0.010694997347394559,72,0.021666666666666723,0,0,2,0.0
2024-07-31,6,14,0.03896953834856473,0.03499999999999999,0.00023099999999999992,0.03873853834856473,69,0.05166666666666664,1,0,1,0.013333333333333334
2024-08-31,6,12,0.003731290914071115,0.0925,0.0006105,0.0031207909140711153,66,0.14666666666666672,2,0,5,0.025
2024-09-30,6,13,0.053131618670422584,0.03083333333327644,0.0002034999999996245,0.052928118670422956,59,0.1283333333333333,3,0,0,0.035
2024-10-31,6,13,0.03191974950283545,0.021666666666666626,0.00014299999999999974,0.031776749502835454,0,0.08500000000000008,3,0,0,0.035
2024-11-30,6,13,0.06228795294679794,0.02875000000000001,0.00018975000000000009,0.06209820294679794,62,0.08000000000000018,4,0,0,0.04666666666666666
2024-12-31,6,13,0.01836330015102051,0.006666666666666654,4.399999999999992e-05,0.018319300151020512,64,0.07666666666666688,5,0,0,0.06
2025-01-31,6,12,0.13092077298671212,0.08375000000001184,0.0005527500000000781,0.13036802298671205,0,0.14416666666669042,6,0,5,0.06916666666666667
2025-02-28,6,12,0.01651653142870901,0.0739583333332883,0.00048812499999970277,0.016028406428709306,0,0.2120833333333808,8,0,5,0.09000000000002367
2025-03-31,6,13,0.03466674351453007,0.05333333333334991,0.0003520000000001094,0.03431474351452996,57,0.21208333333333818,8,2,1,0.09916666666669034
2025-04-30,6,11,-0.031953982963719034,0.10520833333334516,0.0006943750000000781,-0.032648357963719114,57,0.32250000000002843,12,0,8,0.14416666666669034
