as_of_date,n_active_vintages,n_holdings,gross_return,turnover,cost,net_return,stale_price_events,cash_weight,n_pending,n_confirmed_late,n_early_exits,gate_blocked_weight
2017-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-02-29,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-03-31,1,3,0.0,0.16666666666666666,0.0010999999999999998,-0.0010999999999999998,0,0.8333333333333334,0,0,0,0.0
2022-04-30,2,2,0.016862118961355907,0.08333333333333333,0.0005499999999999999,0.01631211896135591,3,0.7777777777777778,1,0,1,0.05555555555555555
2022-05-31,3,2,-0.013158292084983954,0.05555555555555555,0.00036666666666666667,-0.01352495875165062,4,0.6666666666666667,2,0,0,0.1111111111111111
2022-06-30,4,1,-0.02598085768020406,0.1111111111111111,0.0007333333333333333,-0.02671419101353739,0,0.7777777777777778,4,0,3,0.2222222222222222
2022-07-31,5,1,-0.01706214689265538,0.02777777777777779,0.00018333333333333342,-0.017245480225988714,4,0.7222222222222222,6,0,0,0.3333333333333333
2022-08-31,6,1,0.04757970748424205,0.02777777777777779,0.00018333333333333342,0.047396374150908714,5,0.6666666666666666,8,0,0,0.4444444444444444
2022-09-30,6,1,0.00099268547544414,0.0,0.0,0.00099268547544414,0,0.6666666666666666,10,0,0,0.5555555555555556
2022-10-31,6,1,-0.0338073657342293,0.0,0.0,-0.0338073657342293,0,0.6666666666666666,11,0,0,0.611111111111111
2022-11-30,6,0,-0.0028985507246376643,0.33333333333333337,0.0022,-0.005098550724637664,0,1.0,13,0,5,0.7222222222222222
2022-12-31,6,1,0.0,0.16666666666666666,0.0010999999999999998,-0.0010999999999999998,0,0.8333333333333334,11,2,0,0.611111111111111
2023-01-31,6,2,-0.005258899676375401,0.1111111111111111,0.0007333333333333333,-0.005992233009708734,3,0.6111111111111112,8,2,0,0.4444444444444444
2023-02-28,6,2,0.018259249656708824,0.055555555555555566,0.0003666666666666667,0.017892582990042157,0,0.5,7,0,0,0.38888888888888884
2023-03-31,6,2,0.022930700735578763,0.05555555555555558,0.00036666666666666683,0.022564034068912095,0,0.38888888888888884,6,0,0,0.3333333333333333
2023-04-30,6,17,0.004106536368571882,0.09027777777777779,0.0005958333333333334,0.0035107030352385486,11,0.3027777777777777,8,0,0,0.30277777777777776
2023-05-31,6,19,0.061206767838620724,0.15416666666666673,0.0010175000000000004,0.060189267838620726,27,0.18333333333333335,5,3,0,0.18333333333333332
2023-06-30,6,20,0.0577476363746199,0.13055555555555556,0.0008616666666666667,0.05688596970795324,47,0.11111111111111116,2,2,0,0.1111111111111111
2023-07-31,6,20,0.052643442978041674,0.1222222222222222,0.0008066666666666666,0.05183677631137501,67,0.05555555555555558,1,0,0,0.05555555555555555
2023-08-31,6,20,0.03162277038391659,0.1222222222222222,0.0008066666666666666,0.03081610371724992,0,1.1102230246251565e-16,0,0,0,0.0
2023-09-30,6,20,0.05928322420155406,0.14166666666666664,0.0009349999999999997,0.05834822420155406,103,1.1102230246251565e-16,0,0,0,0.0
2023-10-31,6,20,0.03014813820101309,0.0,0.0,0.03014813820101309,120,1.1102230246251565e-16,0,0,0,0.0
2023-11-30,6,20,-0.023177069265166467,0.0,0.0,-0.023177069265166467,0,1.1102230246251565e-16,0,0,0,0.0
2023-12-31,6,20,-0.010106560424471795,0.0,0.0,-0.010106560424471795,120,1.1102230246251565e-16,0,0,0,0.0
2024-01-31,6,20,0.07387411503298667,0.0,0.0,0.07387411503298667,120,1.1102230246251565e-16,0,0,0,0.0
2024-02-29,6,13,0.035683222395197105,0.175,0.001155,0.0345282223951971,0,0.3500000000000001,7,0,35,0.058333333333333334
2024-03-31,6,16,0.03242804601995376,0.03333333333333333,0.00022,0.032208046019953765,78,0.33333333333333337,12,2,0,0.1
2024-04-30,6,18,0.1494528632302466,0.04583333333333333,0.0003025,0.14915036323024658,80,0.29166666666666674,14,3,0,0.11666666666666667
2024-05-31,6,18,0.00041648425753996847,0.05416666666666667,0.0003575,5.898425753996845e-05,0,0.2833333333333333,17,2,3,0.14166666666666666
2024-06-30,6,17,-0.006787319446779103,0.041666666666666664,0.00027499999999999996,-0.007062319446779103,86,0.30000000000000004,23,0,3,0.19166666666666665
2024-07-31,6,18,0.020818157226932685,0.06666666666666667,0.00044,0.020378157226932685,84,0.28333333333333344,24,4,4,0.2
2024-08-31,6,17,0.04309193312849156,0.10416666666666667,0.0006875000000000001,0.042404433128491556,86,0.275,16,7,8,0.13333333333333333
2024-09-30,6,19,0.03938100949017947,0.0375,0.0002475,0.03913350949017947,87,0.20000000000000007,11,2,0,0.09166666666666666
2024-10-31,6,19,0.00942835445241886,0.029166666666666664,0.0001925,0.00923585445241886,0,0.14166666666666672,8,0,0,0.06666666666666667
2024-11-30,6,19,0.024172102636139697,0.024999999999999994,0.00016499999999999997,0.0240071026361397,103,0.09166666666666679,6,0,0,0.05
2024-12-31,6,19,0.014438659206519397,0.012499999999999997,8.249999999999999e-05,0.014356159206519397,109,0.06666666666666676,6,0,0,0.05
2025-01-31,6,17,0.14638913519819519,0.05833333333333333,0.000385,0.1460041351981952,0,0.15000000000000002,8,0,10,0.06666666666666667
2025-02-28,6,17,0.0007062843852748908,0.03333333333333333,0.00022,0.0004862843852748908,0,0.18333333333333335,9,1,5,0.075
2025-03-31,6,19,0.04778180007980422,0.05615079365079364,0.000370595238095238,0.04741120484170898,98,0.19880952380952388,9,2,5,0.07380952380952381
