as_of_date,n_active_vintages,n_holdings,gross_return,turnover,cost,net_return,stale_price_events,cash_weight,n_pending,n_confirmed_late,n_early_exits,gate_blocked_weight
2017-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2017-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2018-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2019-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-02-29,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2020-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2021-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-04-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-05-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-06-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-07-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-08-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-09-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-10-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-11-30,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2022-12-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2023-01-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2023-02-28,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2023-03-31,0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0
2023-04-30,1,14,0.0,0.15666666666666668,0.001034,-0.001034,0,0.8433333333333333,1,0,0,0.01
2023-05-31,2,15,0.008505080057515758,0.08833333333333333,0.000583,0.007922080057515758,14,0.6666666666666666,0,1,0,0.0
2023-06-30,3,15,0.013974795804659957,0.08333333333333334,0.00055,0.013424795804659957,30,0.5,0,0,0,0.0
2023-07-31,4,15,0.020875974318537556,0.08333333333333333,0.0005499999999999999,0.020325974318537558,45,0.33333333333333326,0,0,0,0.0
2023-08-31,5,15,0.010302599574103614,0.08333333333333333,0.0005499999999999999,0.009752599574103614,0,0.16666666666666663,0,0,0,0.0
2023-09-30,6,15,0.04157784960301742,0.08333333333333337,0.0005500000000000002,0.04102784960301742,75,0.0,0,0,0,0.0
2023-10-31,6,15,0.03483960978330155,0.0,0.0,0.03483960978330155,90,0.0,0,0,0,0.0
2023-11-30,6,15,-0.016819992931447907,0.0,0.0,-0.016819992931447907,0,0.0,0,0,0,0.0
2023-12-31,6,15,-0.006820038550263234,0.0,0.0,-0.006820038550263234,90,0.0,0,0,0,0.0
2024-01-31,6,15,0.08830993977423243,0.0,0.0,0.08830993977423243,90,0.0,0,0,0,0.0
2024-02-29,6,10,0.03377734505390921,0.17500000000000002,0.0011550000000000002,0.03262234505390921,0,0.35,5,0,25,0.058333333333333334
2024-03-31,6,14,0.045413202799950474,0.07805555555555557,0.0005151666666666668,0.04489803613328381,60,0.38611111111111107,9,0,5,0.10277777777777779
2024-04-30,6,17,0.18348592436946765,0.07611111111111112,0.0005023333333333334,0.18298359103613432,56,0.3061111111111111,8,3,0,0.09111111111111111
2024-05-31,6,17,0.009514304970499217,0.05916666666666665,0.0003904999999999999,0.009123804970499217,0,0.2599999999999999,10,0,0,0.11333333333333334
2024-06-30,6,17,0.003782334466426225,0.08694444444444445,0.0005738333333333333,0.0032085011330928916,67,0.22499999999999998,10,2,3,0.11333333333333334
2024-07-31,6,17,0.043903324361542234,0.09250000000000003,0.0006105000000000001,0.043292824361542234,70,0.20111111111111102,10,2,4,0.11333333333333334
2024-08-31,6,12,-0.01783164167320886,0.07611111111111109,0.0005023333333333331,-0.018333975006542193,72,0.21111111111111114,9,0,3,0.1
2024-09-30,6,14,0.04770145639916086,0.03333333333333333,0.00022,0.04748145639916086,71,0.1444444444444445,5,3,0,0.05555555555555556
2024-10-31,6,14,-0.01872103682235562,0.011111111111111112,7.333333333333333e-05,-0.018794370155688956,0,0.12222222222222223,5,0,0,0.05555555555555556
2024-11-30,6,13,0.045571179532175626,0.02777777777777778,0.00018333333333333334,0.04538784619884229,79,0.15555555555555556,7,0,4,0.07777777777777778
2024-12-31,6,14,0.01266928904012783,0.014583333333333316,9.624999999999989e-05,0.012573039040127831,76,0.1430555555555555,8,0,0,0.0875
2025-01-31,6,15,0.20680464532613518,0.03055555555555554,0.00020166666666666656,0.20660297865946853,0,0.0986111111111111,6,2,0,0.06527777777777778
2025-02-28,6,15,0.02305928481226605,0.06284722222222229,0.0004147916666666671,0.02264449314559938,0,0.12013888888888902,4,2,5,0.04375
2025-03-31,6,21,0.091421367525569,0.06145833333333331,0.00040562499999999984,0.09101574252556899,82,0.09722222222222232,4,0,0,0.043055555555555555
2025-04-30,6,22,0.009814744376042033,0.071875,0.00047437499999999997,0.009340369376042032,85,0.07430555555555562,4,0,0,0.04236111111111111
2025-05-31,6,21,0.003988468284329329,0.08263888888888889,0.0005454166666666666,0.0034430516176626627,88,0.09375000000000011,5,0,2,0.05208333333333333
2025-06-30,6,22,0.04892128661935238,0.078125,0.000515625,0.048405661619352384,87,0.08333333333333337,5,1,0,0.05208333333333333
2025-07-31,6,22,0.02804462771856821,0.06249999999999999,0.00041249999999999994,0.02763212771856821,0,0.08333333333333337,6,0,0,0.0625
2025-08-31,6,16,0.06616427361692676,0.06249999999999999,0.00041249999999999994,0.06575177361692676,88,0.08333333333333348,6,0,0,0.0625
2025-09-30,6,14,-0.030267855552879034,0.06770833333333333,0.00044687499999999995,-0.030714730552879033,88,0.19791666666666674,8,0,10,0.08333333333333333
