signal,group,tier,mean_ic,hac_t_stat,fdr_qvalue,spread,sharpe
book_to_market,value,Tier 1 - strong candidate,0.1701959809032382,3.4506678305561764,0.006430815618767349,0.17544503860018626,1.7149078444145232
cashflow_price,value,Tier 2 - promising but uncertain,0.135428070917559,4.935357867198995,1.8400903004422986e-05,0.12618014679917963,0.9958408062469067
low_leverage,distress,Tier 4 - not supported,0.10303777970091285,1.8852184625838015,0.3144964472933579,-0.011094544115765255,-0.12171380241861936
small_size,risk_size,Tier 2 - promising but uncertain,0.0839288745610408,1.301348371323795,0.5552753067195851,0.1557151738000089,1.079390045759926
beta_high,risk_size,Tier 2 - promising but uncertain,0.07864814242188058,0.8596429370270163,0.7474729728228815,0.07733735797030314,0.45133532655019165
momentum_12_1,market_behavior,Tier 2 - promising but uncertain,0.07512185386764333,0.6581966508199081,0.8449113236745899,0.1436050802523182,0.5966821980203585
earnings_yield,value,Tier 4 - not supported,0.06944296577439778,1.2276429176685073,0.5611515552752397,-0.07204542740207476,-0.6653147633018748
ebitda_ev_yield,value,Tier 4 - not supported,0.03222986569970041,0.42767574281912457,0.8449113236745899,-0.046428162779888614,-0.5922183008011006
momentum_6_1,market_behavior,Tier 4 - not supported,0.027917321977801023,0.41273529569926576,0.8449113236745899,0.04661402138906976,0.2995346971611916
dividend_yield,value,Tier 4 - not supported,0.02037070218162698,0.2780978190041032,0.8449113236745899,-0.08910456570008332,-0.8120092953191211
sales_price,value,Tier 4 - not supported,0.0174574317519725,0.24277971739775392,0.8449113236745899,0.1416732284336345,1.3761096736390799
piotroski_lite,profitability_quality,Tier 4 - not supported,-0.010099169658824292,-0.18509401109826337,0.8531552988989243,-0.031276040065693865,-0.3367520835731146
short_reversal,market_behavior,Tier 4 - not supported,-0.01706468466520014,-0.46649591267982743,0.8449113236745899,-0.038646972391773414,-0.36022540128461733
operating_profitability_approx,profitability_quality,Tier 4 - not supported,-0.019412302689299197,-0.2706519877828411,0.8449113236745899,-0.10828203019717014,-1.2579018644187359
roa_standalone,profitability_quality,Tier 4 - not supported,-0.020538099882227222,-0.3152825270875264,0.8449113236745899,-0.11593915195699145,-1.145237641843263
roe_standalone,profitability_quality,Tier 4 - not supported,-0.03239048968487585,-0.42727373164837273,0.8449113236745899,-0.11854375899551489,-1.1682255311934877
accrual_quality,profitability_quality,Tier 4 - not supported,-0.039041134611566976,-0.5343769905062051,0.8449113236745899,0.03197038140450991,0.280718649483324
beta_low,risk_size,Tier 4 - not supported,-0.07864814242188058,-0.8596429370270163,0.7474729728228815,-0.08018027116589171,-0.46805250148609856
size_log_mcap,risk_size,Tier 4 - not supported,-0.0839288745610408,-1.301348371323795,0.5552753067195851,-0.15637618755333632,-1.083502229599387
conservative_investment,investment,Tier 4 - not supported,-0.08436820156286103,-1.1495975815748116,0.575712205868636,0.07562703662805609,0.9779230393957542
low_total_volatility,risk_size,Tier 4 - not supported,-0.12971215099187772,-1.6216856771229222,0.402004223954948,-0.17253268197385968,-1.24355726963391
low_idio_volatility,risk_size,Tier 4 - not supported,-0.13427768182538025,-1.82256834993972,0.3144964472933579,-0.16894579915913815,-1.2321285645224025
gross_profitability,profitability_quality,Tier 4 - not supported,-0.175234630858824,-2.684605628847922,0.05567183228903283,-0.20980675691970443,-1.4898624017825057
