sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue,base_signal
orthogonalized,earnings_yield__net_bm,Net income / market cap; negative earnings retained; orthogonalized to B/M,1m,49,2399,0.03589744317955994,0.01818181818181818,0.20099707663493252,0.5918367346938775,1.3830167825537958,0.16665972003295781,earnings_yield
orthogonalized,earnings_yield__net_bm,Net income / market cap; negative earnings retained; orthogonalized to B/M,3m,47,2265,0.035945460727799805,0.025701367037732355,0.15072959113562454,0.5957446808510638,1.562746649810501,0.1181121971613166,earnings_yield
orthogonalized,earnings_yield__net_bm,Net income / market cap; negative earnings retained; orthogonalized to B/M,6m,44,2064,-0.0036079382686540675,0.01589137894337556,0.15066409741225772,0.5454545454545454,-0.1558166376054794,0.8761775558951974,earnings_yield
orthogonalized,earnings_yield__net_bm,Net income / market cap; negative earnings retained; orthogonalized to B/M,12m,38,1673,0.038194341350111835,0.02564874541724302,0.14529191371027325,0.6052631578947368,0.9619023437676729,0.3360986611420165,earnings_yield
orthogonalized,earnings_yield__net_bm_size_liq,Net income / market cap; negative earnings retained; orthogonalized to B/M+size+liquidity,1m,36,2254,0.015700439859022534,0.027372935822648523,0.10326674227941687,0.5277777777777778,0.9482630943350573,0.3429955339351949,earnings_yield
orthogonalized,earnings_yield__net_bm_size_liq,Net income / market cap; negative earnings retained; orthogonalized to B/M+size+liquidity,3m,34,2120,0.0006264352651707746,-0.007463782790556096,0.11536821875876901,0.5,0.023871194042993062,0.9809553515567404,earnings_yield
orthogonalized,earnings_yield__net_bm_size_liq,Net income / market cap; negative earnings retained; orthogonalized to B/M+size+liquidity,6m,31,1919,-0.011067434202387417,-0.016443806501976785,0.09322884956920326,0.3870967741935484,-0.4009291644946625,0.6884722769623337,earnings_yield
orthogonalized,earnings_yield__net_bm_size_liq,Net income / market cap; negative earnings retained; orthogonalized to B/M+size+liquidity,12m,25,1528,-0.003589273559247038,0.013573065397496914,0.09090146987087075,0.6,-0.12126585676014698,0.9034804627565849,earnings_yield
orthogonalized,dividend_yield__net_bm,Dividends / market cap; fallback stored Dividend_Yield; orthogonalized to B/M,1m,40,2135,0.007277806637694492,-0.0004176366362711832,0.2081180650600671,0.5,0.2328776313840544,0.8158564285178578,dividend_yield
orthogonalized,dividend_yield__net_bm,Dividends / market cap; fallback stored Dividend_Yield; orthogonalized to B/M,3m,38,2009,0.020715979844630375,0.012390720376093706,0.20283838992781986,0.5263157894736842,0.4515603220220528,0.6515857596048495,dividend_yield
orthogonalized,dividend_yield__net_bm,Dividends / market cap; fallback stored Dividend_Yield; orthogonalized to B/M,6m,35,1820,-0.0495986208842704,-0.056049213943950786,0.16952330602816418,0.3142857142857143,-1.0815073521461385,0.27947149204149335,dividend_yield
orthogonalized,dividend_yield__net_bm,Dividends / market cap; fallback stored Dividend_Yield; orthogonalized to B/M,12m,29,1454,-0.061222530877895816,-0.08510500388903293,0.1192246259708059,0.1724137931034483,-1.52090722566778,0.12828312044141432,dividend_yield
orthogonalized,dividend_yield__net_bm_size_liq,Dividends / market cap; fallback stored Dividend_Yield; orthogonalized to B/M+size+liquidity,1m,36,2084,0.010184187962935944,0.019187074268743963,0.14889031234979946,0.5555555555555556,0.3865099075047079,0.6991190664997777,dividend_yield
orthogonalized,dividend_yield__net_bm_size_liq,Dividends / market cap; fallback stored Dividend_Yield; orthogonalized to B/M+size+liquidity,3m,34,1958,0.003762799167248653,0.004561118820183988,0.16656453954554645,0.5294117647058824,0.09931878342798356,0.9208851651326424,dividend_yield
orthogonalized,dividend_yield__net_bm_size_liq,Dividends / market cap; fallback stored Dividend_Yield; orthogonalized to B/M+size+liquidity,6m,31,1769,-0.033110998104408595,-0.019624819624819625,0.1261897221000325,0.3870967741935484,-0.8717628469887879,0.383337766837867,dividend_yield
orthogonalized,dividend_yield__net_bm_size_liq,Dividends / market cap; fallback stored Dividend_Yield; orthogonalized to B/M+size+liquidity,12m,25,1403,-0.051950448772879444,-0.06248379569613689,0.10941501411285737,0.24,-1.4094025655698692,0.15871616587001602,dividend_yield
orthogonalized,cashflow_price__net_bm,Operating cash flow / market cap; orthogonalized to B/M,1m,36,1734,0.052386941277702416,0.08301644639063252,0.16867140057882812,0.6666666666666666,1.7888630812539763,0.07363686876735942,cashflow_price
orthogonalized,cashflow_price__net_bm,Operating cash flow / market cap; orthogonalized to B/M,3m,34,1631,0.10265007474399197,0.1301802706621733,0.16693512718741374,0.7647058823529411,2.806948003409192,0.005001331385285468,cashflow_price
orthogonalized,cashflow_price__net_bm,Operating cash flow / market cap; orthogonalized to B/M,6m,31,1475,0.10893534509002838,0.14564482096803336,0.13760304031349943,0.7419354838709677,3.573325075408382,0.00035247673611293884,cashflow_price
orthogonalized,cashflow_price__net_bm,Operating cash flow / market cap; orthogonalized to B/M,12m,25,1175,0.1327300488219315,0.12297996593847041,0.1296695524927032,0.8,2.64190749722737,0.008244056841197889,cashflow_price
orthogonalized,cashflow_price__net_bm_size_liq,Operating cash flow / market cap; orthogonalized to B/M+size+liquidity,1m,36,1732,0.046555444067624845,0.0696067511185788,0.14319722242208002,0.7222222222222222,1.8386980628669092,0.06595960850401394,cashflow_price
