symbol,statement_year,metric_name,n_distinct_values,min_value,max_value,ratio_max_min,sources_involved,classification,n_raw_rows
ADH,2021,Cash,2,229508525.0,229510000.0,1.0000064267765216,bvc;stockanalysis,B_harmless_equivalent,2
ADH,2021,EBITDA,3,-143701342.0,-123948251.0,0.862540664373197,bvc;stockanalysis;workbook,E_source_disagreement,6
ADH,2021,EnterpriseValue,2,5995761240.26,6939955895.26,1.157477027047037,workbook,E_source_disagreement,4
ADH,2021,NetIncome,2,-96775042.0,-88280000.0,0.9122186689415231,bvc;stockanalysis,E_source_disagreement,2
ADH,2021,Revenue,2,1196552867.0,1197000000.0,1.0003736842828526,bvc;stockanalysis,B_harmless_equivalent,2
ADH,2021,Total_Debt,2,3733477503.0,4678000000.0,1.2529873278306989,bvc;stockanalysis,E_source_disagreement,2
ADH,2021,Total_Equity,2,9605000000.0,9605304598.0,1.0000317124414368,bvc;stockanalysis,B_harmless_equivalent,2
ADH,2022,Cash,2,214596605.0,214600000.0,1.0000158203807559,bvc;stockanalysis,B_harmless_equivalent,2
ADH,2022,EBITDA,3,145200000.0,214755693.0,1.4790336983471075,bvc;stockanalysis;workbook,E_source_disagreement,6
ADH,2022,EnterpriseValue,2,7549606462.5,8543472544.5,1.1316447535294294,workbook,E_source_disagreement,4
ADH,2022,NetIncome,2,11605001.0,37520000.0,3.233088907101344,bvc;stockanalysis,E_source_disagreement,2
ADH,2022,Revenue,2,1377780080.0,1378000000.0,1.0001596190881203,bvc;stockanalysis,B_harmless_equivalent,2
ADH,2022,Total_Debt,2,4845706476.0,4846000000.0,1.0000605740363049,bvc;stockanalysis,B_harmless_equivalent,2
ADH,2022,Total_Equity,2,9643000000.0,9643388563.0,1.0000402948252618,bvc;stockanalysis,B_harmless_equivalent,2
ADH,2023,Cash,2,356615984.0,356620000.0,1.0000112614133414,bvc;stockanalysis,B_harmless_equivalent,2
ADH,2023,EBITDA,3,143840513.0,5984000000.0,41.601631384615544,bvc;stockanalysis;workbook,E_source_disagreement,6
ADH,2023,NetIncome,2,174710000.0,188354593.0,1.0780985232671283,bvc;stockanalysis,E_source_disagreement,2
ADH,2023,Revenue,2,2134000000.0,2134135320.0,1.0000634114339269,bvc;stockanalysis,B_harmless_equivalent,2
ADH,2023,Total_Debt,2,4679565309.0,4680000000.0,1.0000928913203035,bvc;stockanalysis,B_harmless_equivalent,2
ADH,2023,Total_Equity,2,9905741013.0,9906000000.0,1.000026145141455,bvc;stockanalysis,B_harmless_equivalent,2
ADH,2024,Cash,2,205090000.0,205090609.0,1.0000029694280559,bvc;stockanalysis,B_harmless_equivalent,2
ADH,2024,EBITDA,4,493142016.0,2149000000.0,4.357771048249111,bvc;stockanalysis;workbook,E_source_disagreement,6
ADH,2024,EnterpriseValue,2,11299995182.4,13417546444.060001,1.1873939968539222,workbook,E_source_disagreement,4
ADH,2024,NetIncome,2,274180000.0,303644948.0,1.1074657086585455,bvc;stockanalysis,E_source_disagreement,2
ADH,2024,Revenue,2,2594688796.0,2595000000.0,1.0001199388537383,bvc;stockanalysis,B_harmless_equivalent,2
ADH,2024,Total_Debt,2,3212529959.0,4324000000.0,1.3459796656171823,bvc;stockanalysis,E_source_disagreement,2
ADH,2024,Total_Equity,2,10201900882.0,10202000000.0,1.0000097156403642,bvc;stockanalysis,B_harmless_equivalent,2
ADH,2025,Cash,2,167628242.0,167630000.0,1.000010487492913,bvc;stockanalysis,B_harmless_equivalent,2
ADH,2025,EBITDA,4,476353422.0,562648756.0,1.1811582115599875,bvc;stockanalysis;workbook,E_source_disagreement,6
ADH,2025,EnterpriseValue,2,21606030595.32,23921054817.989998,1.1071471324849205,workbook,E_source_disagreement,4
ADH,2025,NetIncome,2,453720000.0,516071666.0,1.1374232257780128,bvc;stockanalysis,E_source_disagreement,2
ADH,2025,Revenue,2,2708923803.0,2709000000.0,1.0000281281444372,bvc;stockanalysis,B_harmless_equivalent,2
ADH,2025,Total_Debt,2,3425372680.0,4553000000.0,1.3291984333803935,bvc;stockanalysis,E_source_disagreement,2
ADH,2025,Total_Equity,2,10410564821.0,10411000000.0,1.0000418016704649,bvc;stockanalysis,B_harmless_equivalent,2
ADH,2026,EnterpriseValue,2,11734369054.099998,11734369054.1,1.0000000000000002,workbook,B_harmless_equivalent,4
ADH,2026,MarketCap_Calc,2,11734369054.099998,11734369054.1,1.0000000000000002,workbook,B_harmless_equivalent,4
ADI,2020,EBITDA,2,-280199000.0,229256000.0,0.8181899293002474,workbook,E_source_disagreement_sign_flip,4
ADI,2021,Cash,2,303360000.0,303361000.0,1.0000032964135022,bvc;stockanalysis,B_harmless_equivalent,2
ADI,2021,EBITDA,3,259578000.0,488498000.0,1.8818929185061908,bvc;stockanalysis;workbook,E_source_disagreement,6
ADI,2021,NetIncome,2,119150000.0,119300000.0,1.0012589173310953,bvc;stockanalysis,E_source_disagreement,2
ADI,2021,Revenue,2,1413801000.0,1428000000.0,1.0100431390273454,bvc;stockanalysis,E_source_disagreement,2
ADI,2021,Total_Debt,2,2262481000.0,2604000000.0,1.1509488919464959,bvc;stockanalysis,E_source_disagreement,2
