document_id,tagged_symbol,actual_company_name,document_title,source_url,publication_date,fiscal_year
1623,REB,MAGHREB OXYGENE,Maghreb Oxygène : Résultats annuels 2017,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/MOX_res_2017_fr.pdf,2018-02-22,2017
2601,REB,MAGHREBAIL,MAGHREBAIL :  Comptes annuels 2018,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/MAB_resu_2018_fr.pdf,2019-04-05,2018
2620,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : Comptes annuels 2018,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/S2M_res_2018_fr.pdf,2019-03-29,2018
2633,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm : Profit Warning sur résultats du 1er semestre 2018,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/PRO_PW_S1_18_fr.pdf,2018-09-14,2018
1470,REB,MAGHREBAIL,Maghrebail : Indicateurs annuels 2019  ,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/CP_MAB_IND_19_fr.pdf,2020-03-25,2019
2528,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm : Résultats 2019,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/PRO_RESULT_2019_fr.pdf,2020-03-31,2019
2514,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : Comptes annuels 2019   ,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/S2M_res_19ammc_fr.pdf,2020-05-04,2019
2597,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : Convocation en assemblée ordinaire  ,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/S2M_conago_19_fr.pdf,2019-05-28,2019
2577,REB,MAGHREB OXYGENE,Maghreb Oxygène : Indicateurs du 1er semestre 2019 ,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/MOX_ind_1S_19_fr.pdf,2019-09-19,2019
1936,REB,MAGHREB OXYGENE,Maghreb Oxygène : Indicateurs du 4e trimestre 2019 ,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/MOX_ind_4T_19_fr.pdf,2020-02-27,2019
2113,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : Indicateurs du 2e trimestre 2019  ,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/S2M_2T_2019_fr.pdf,2019-08-30,2019
705,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm : Indicateurs du 4e trimestre 2019 ,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/CP_PRO_T4_19_fr.pdf,2020-02-28,2019
2111,REB,MAGHREB OXYGENE,Maghreb Oxygène : Indicateurs du 3e trimestre 2019 ,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/MOX_ind_3T_19_fr.pdf,2019-11-26,2019
1162,REB,MAGHREBAIL,Maghrebail : Indicateurs du 4e trimestre 2019  ,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/CP_MAB_T4_19_fr.pdf,2020-02-27,2019
1471,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : Indicateurs du 4T 2019,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/CP_S2M_ind_T4_19_fr.pdf,2020-02-29,2019
2421,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : Indicateurs annuels 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/S2M_IND_2020_fr.pdf,2021-04-01,2020
1799,REB,MAGHREB OXYGENE,Maghreb Oxygène : Résultats annuels 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/MOX_Rslts_2020_fr.pdf,2021-02-16,2020
1655,REB,MAGHREBAIL,Maghrebail : Résultats annuels 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/MAB_Reslts_2020_fr.pdf,2021-03-26,2020
1900,REB,MAGHREB OXYGENE,Maghreb Oxygène : Indicateurs du 4e trimestre 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/MOX_Ind_T4_2020_fr.pdf,2021-02-24,2020
1892,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm : Indicateurs du 4ème trimestre 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/PRO_T4_20_fr.pdf,2021-03-01,2020
1890,REB,MAGHREBAIL,Maghrebail : CP financier relatif aux résultats 2020,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/MAB_CP_post_CA_17_03_21_fr.pdf,2021-03-18,2020
