symbol,statement_year,old_enterprise_value,market_cap_used,net_debt_used,new_enterprise_value,status
ADI,2021,2300889000.0,816000000.0,2301000000.0,3117000000.0,repaired
AFI,2022,4001983.84,99000000.0,4000000.0,103000000.0,repaired
AFM,2023,73111000.0,1200000000.0,129710000.00000001,1329710000.0,repaired
AGM,2021,-70751000.0,946000000.0,-70750000.0,875250000.0,repaired
AGM,2022,-101187000.0,1214000000.0,-101190000.0,1112810000.0,repaired
AGM,2023,-10800000.0,1276000000.0,-131210000.00000001,1144790000.0,repaired
AKT,2021,699611414.0,,762980000.0,,unresolved_no_marketcap
AKT,2022,184801615.0,3496000000.0,715060000.0,4211060000.0,repaired
AKT,2023,979287725.0,4063692409.0,1186000000.0,5249692409.0,repaired
AKT,2024,1095474292.0,9628260760.0,1349000000.0,10977260760.0,repaired
AKT,2025,3972643001.0,17982192890.0,3875000000.0,21857192890.0,repaired
ARD,2020,1138218000.0,,1138218000.0,,unresolved_no_marketcap
ARD,2021,1939736000.0,4418000000.0,1945000000.0,6363000000.0,repaired
ARD,2022,2437910000.0,4542000000.0,2510000000.0,7052000000.0,repaired
ATH,2021,310836643.77,5180000000.0,-107270000.0,5072730000.0,repaired
ATH,2022,280673504.69,3269000000.0,-84190000.0,3184810000.0,repaired
ATL,2021,446891000.0,7355000000.0,446890000.0,7801890000.0,repaired
ATL,2022,328206000.0,7535000000.0,328210000.0,7863210000.0,repaired
ATL,2023,164252000.0,7656000000.0,164250000.0,7820250000.0,repaired
ATW,2021,16692765000.0,90649592512.65001,-37144000000.0,53505592512.65001,repaired
ATW,2023,11216015000.0,85228043369.84999,-37968000000.0,47260043369.84999,repaired
BAL,2021,2466017.0,192000000.0,-44040000.0,147960000.0,repaired
BAL,2022,5867180.0,288000000.0,-58600000.0,229400000.0,repaired
BCI,2023,8888728000.0,7171000000.0,6107000000.0,13278000000.0,repaired
BCP,2020,26160800000.0,43915494168.0,26160800000.0,70076294168.0,repaired
BCP,2021,24577714000.0,51438055669.0,-54498000000.0,-3059944331.0,repaired
BCP,2022,33708723000.0,54284430291.0,-37573000000.0,16711430291.0,repaired
BCP,2023,49445946000.0,46151931371.0,-27258000000.0,18893931371.0,repaired
BOA,2021,-9139841000.0,38654000000.0,14061000000.0,52715000000.0,repaired
BOA,2022,-6325188000.0,35908000000.0,12939000000.0,48847000000.0,repaired
CAP,2021,83350000.0,,83250000.0,,unresolved_no_marketcap
CAP,2022,198740000.0,,197390000.0,,unresolved_no_marketcap
CAP,2023,274830000.0,,268620000.0,,unresolved_no_marketcap
CFG,2022,5072614000.0,,1862000000.0,,unresolved_no_marketcap
CFG,2023,10134673000.0,5727000000.0,6223000000.0,11950000000.0,repaired
CMA,2021,-93157000.0,27428000000.0,-1507000000.0,25921000000.0,repaired
CMA,2022,44306000.0,18478000000.0,-263690000.0,18214310000.0,repaired
CMA,2023,74759000.0,24252000000.0,-587630000.0,23664370000.0,repaired
CMA,2024,92920000.0,27140000000.0,-673160000.0,26466840000.0,repaired
CMG,2021,409660000.0,,336420000.0,,unresolved_no_marketcap
CMG,2022,692240000.0,,683710000.0,,unresolved_no_marketcap
CMG,2023,601221242.0,,567780000.0,,unresolved_no_marketcap
CMG,2024,154210633.0,4930000000.0,150250000.0,5080250000.0,repaired
CMG,2025,54087304.0,6120000000.0,48110000.0,6168110000.0,repaired
CMT,2021,378103867.0,2959000000.0,169440000.0,3128440000.0,repaired
CMT,2022,299423022.0,2824000000.0,298000000.0,3122000000.0,repaired
COL,2022,17429616.18,733000000.0,17430000.0,750430000.0,repaired
COL,2023,4739373.03,749000000.0,-41560000.0,707440000.0,repaired
CTM,2021,134750000.0,907000000.0,56820000.0,963820000.0,repaired
CTM,2022,91973000.0,829000000.0,-23030000.0,805970000.0,repaired
