method,fold,fwd_horizon,threshold_strong_sell,threshold_sell,threshold_buy,threshold_strong_buy,metadata
baseline_fixed,0,6,-50.0,-15.0,15.0,50.0,{}
threshold_optimized,0,6,-80.0,-60.0,-58.333333,-50.0,{}
ridge_linear,0,6,-80.0,-50.0,-30.971931,-30.0,"{""feature_means"": {""momentum"": -82.5, ""oscillation"": 0.0, ""tendance"": -99.16666666666667, ""volume"": -2.5}, ""feature_stds"": {""momentum"": 52.698039179207925, ""oscillation"": 1.0, ""tendance"": 9.090593428863096, ""volume"": 95.2737284529861}}"
isotonic_calibrated,0,6,-80.0,-50.0,-30.0,-18.537705,"{""increasing"": false, ""x_thresholds"": [-100.0, -50.0, -25.0, 0.0, 25.0], ""y_thresholds"": [-0.001625004741549271, -0.001625004741549271, -0.004532137276543544, -0.00876594328123294, -0.00876594328123294]}"
topsis_category,0,6,-80.0,-11.896663,0.0,3.914564,"{""criteria"": [[0.0, 0.0, 0.0, 0.0, 0.9916666666666667], [0.10453301485745227, 1.4186427046475474, 0.00038299926734173314, 0.0, 0.9583333333333334], [0.0, 0.0, 0.0, 0.0, 0.0], [0.04126079582710054, 0.26620016181180517, 0.0023481382137558173, 0.0, 0.9083333333333333]], ""criteria_weights"": ""equal""}"
topsis_action,0,6,-50.0,-15.0,15.0,50.0,"{""bucket_action_stats"": {""buy"": {""buy"": {""hit_rate"": 0.2, ""mean_utility"": -0.003620928513837573, ""n"": 5.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 5.0}, ""sell"": {""hit_rate"": 0.6, ""mean_utility"": 0.0016209285138375725, ""n"": 5.0}, ""strong_buy"": {""hit_rate"": 0.2, ""mean_utility"": -0.003620928513837573, ""n"": 5.0}, ""strong_sell"": {""hit_rate"": 0.6, ""mean_utility"": 0.0016209285138375725, ""n"": 5.0}}, ""hold"": {""buy"": {""hit_rate"": 0.0, ""mean_utility"": -0.02512848019972136, ""n"": 2.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 2.0}, ""sell"": {""hit_rate"": 1.0, ""mean_utility"": 0.023128480199721357, ""n"": 2.0}, ""strong_buy"": {""hit_rate"": 0.0, ""mean_utility"": -0.02512848019972136, ""n"": 2.0}, ""strong_sell"": {""hit_rate"": 1.0, ""mean_utility"": 0.023128480199721357, ""n"": 2.0}}, ""sell"": {""buy"": {""hit_rate"": 0.32075471698113206, ""mean_utility"": -0.0048031737292395455, ""n"": 53.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 53.0}, ""sell"": {""hit_rate"": 0.4339622641509434, ""mean_utility"": 0.0028031737292395437, ""n"": 53.0}, ""strong_buy"": {""hit_rate"": 0.32075471698113206, ""mean_utility"": -0.0048031737292395455, ""n"": 53.0}, ""strong_sell"": {""hit_rate"": 0.4339622641509434, ""mean_utility"": 0.0028031737292395437, ""n"": 53.0}}, ""strong_buy"": {""buy"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 0.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 0.0}, ""sell"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 0.0}, ""strong_buy"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 0.0}, ""strong_sell"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 0.0}}, ""strong_sell"": {""buy"": {""hit_rate"": 0.3333333333333333, ""mean_utility"": -0.00307511370600152, ""n"": 60.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 60.0}, ""sell"": {""hit_rate"": 0.45, ""mean_utility"": 0.001075113706001518, ""n"": 60.0}, ""strong_buy"": {""hit_rate"": 0.3333333333333333, ""mean_utility"": -0.00307511370600152, ""n"": 60.0}, ""strong_sell"": {""hit_rate"": 0.45, ""mean_utility"": 0.001075113706001518, ""n"": 60.0}}}}"
ahp_topsis_prior,0,6,-80.0,24.79646,30.0,50.0,"{""criteria"": [[0.0, 0.0, 0.0, 0.0, 0.9916666666666667], [0.10453301485745227, 1.4186427046475474, 0.00038299926734173314, 0.0, 0.9583333333333334], [0.0, 0.0, 0.0, 0.0, 0.0], [0.04126079582710054, 0.26620016181180517, 0.0023481382137558173, 0.0, 0.9083333333333333]], ""criteria_weights"": [0.45, 0.2, 0.2, 0.1, 0.05]}"
baseline_fixed,1,6,-50.0,-15.0,15.0,50.0,{}
threshold_optimized,1,6,-80.0,-60.0,-50.0,-30.0,{}
ridge_linear,1,6,-80.0,0.0,29.647245,30.0,"{""feature_means"": {""momentum"": 25.56390977443609, ""oscillation"": -8.939014202172096, ""tendance"": 21.219715956558062, ""volume"": 42.35588972431078}, ""feature_stds"": {""momentum"": 95.67831249971016, ""oscillation"": 44.34949436943289, ""tendance"": 94.46246470785576, ""volume"": 83.88318044988024}}"
