signal,group,tier,mean_ic,hac_t_stat,fdr_qvalue,spread,sharpe
book_to_market,value,Tier 1 - strong candidate,0.16381627381195868,2.813393942729675,0.03758319148623679,0.10342879693918663,0.7590861771004164
cashflow_price,value,Tier 2 - promising but uncertain,0.14666361763278035,5.814384698632164,1.3997182390923513e-07,0.10353159248471439,1.0634068182849408
low_leverage,distress,Tier 4 - not supported,0.1159691572585398,2.0400302471020066,0.2377470509483965,-0.01973433829714237,-0.21672405284325216
small_size,risk_size,Tier 2 - promising but uncertain,0.0839288745610408,1.301348371323795,0.7403670756261135,0.1557151738000089,1.079390045759926
momentum_12_1,market_behavior,Tier 2 - promising but uncertain,0.07512185386764333,0.6581966508199081,0.9197301723064454,0.1436050802523182,0.5966821980203585
earnings_yield,value,Tier 4 - not supported,0.06740777284059245,1.087781925118282,0.9091288552448551,-0.0740546472651219,-0.6437521469523365
ebitda_ev_yield,value,Tier 4 - not supported,0.051296340560207945,0.6542385358691871,0.9197301723064454,-0.046428162779888614,-0.5922183008011006
sales_price,value,Tier 2 - promising but uncertain,0.05104415138550063,0.7970362298817676,0.9197301723064454,0.15026242235863674,1.444699468971298
dividend_yield,value,Tier 4 - not supported,0.03950335524285147,0.47335152050133145,0.9197301723064454,-0.08910456570008332,-0.8120092953191211
momentum_6_1,market_behavior,Tier 4 - not supported,0.027917321977801023,0.41273529569926576,0.9197301723064454,0.04661402138906976,0.2995346971611916
operating_profitability_approx,profitability_quality,Tier 4 - not supported,0.016052563205674934,0.27299727898197856,0.9500880034749444,-0.0908446908676907,-1.0743992493652454
short_reversal,market_behavior,Tier 4 - not supported,-0.01706468466520014,-0.46649591267982743,0.9197301723064454,-0.038646972391773414,-0.36022540128461733
roa_standalone,profitability_quality,Tier 4 - not supported,-0.020671968131267728,-0.31721641117314503,0.9500880034749444,-0.11593915195699145,-1.145237641843263
piotroski_lite,profitability_quality,Tier 4 - not supported,-0.02598945660468107,-0.476199893541995,0.9197301723064454,-0.04124918835003048,-0.4384464617400196
roe_standalone,profitability_quality,Tier 4 - not supported,-0.03239048968487585,-0.42727373164837273,0.9197301723064454,-0.11854375899551489,-1.1682255311934877
accrual_quality,profitability_quality,Tier 4 - not supported,-0.03756837400720321,-0.5116502306539736,0.9197301723064454,0.039154674526989834,0.3386087794695701
conservative_investment,investment,Tier 4 - not supported,-0.05697491501066461,-0.8597306894065937,0.9197301723064454,0.07717862704000533,0.90419803412263
size_log_mcap,risk_size,Tier 4 - not supported,-0.0839288745610408,-1.301348371323795,0.7403670756261135,-0.15637618755333632,-1.083502229599387
gross_profitability,profitability_quality,Tier 4 - not supported,-0.19582685969167385,-3.270631888970531,0.012340361514005416,-0.21753806729061131,-1.5244988901723868
beta_high,risk_size,Tier 5 - infeasible/thin coverage,,0.0,1.0,,
beta_low,risk_size,Tier 5 - infeasible/thin coverage,,0.0,1.0,,
low_total_volatility,risk_size,Tier 5 - infeasible/thin coverage,,0.0,1.0,,
low_idio_volatility,risk_size,Tier 5 - infeasible/thin coverage,,0.0,1.0,,
