sample,signal,definition,horizon,cost_bps,periods,top_bottom_spread,gross_top_bottom_spread,net_sharpe,max_drawdown,turnover
native,earnings_yield,Net income / market cap; negative earnings retained,6m,33.0,44,-0.0740546472651219,-0.07338833848769243,-0.6437521469523365,-0.9885981036085377,0.10095587536810106
native,book_to_market,Book equity / market cap,6m,33.0,44,0.10342879693918663,0.103881174127216,0.7590861771004164,-0.8643864551752456,0.06854199818626695
native,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,6m,33.0,44,-0.08910456570008332,-0.08836305765498832,-0.8120092953191211,-0.9956478537864896,0.11234970380227298
native,cashflow_price,Operating cash flow / market cap,6m,33.0,44,0.10353159248471439,0.10418375524131264,1.0634068182849408,-0.6233296792698355,0.09881253887852127
native,sales_price,Revenue / market cap,6m,33.0,44,0.15026242235863674,0.15076437690409128,1.444699468971298,-0.25089853439785625,0.07605371900826446
native,ebitda_ev_yield,EBITDA / enterprise value,6m,33.0,44,-0.046428162779888614,-0.04575570000239149,-0.5922183008011006,-0.9403737171988317,0.10188829962077307
native,small_size,-log(MarketCap),6m,33.0,56,0.1557151738000089,0.15606606665715178,1.079390045759926,-0.6192344117223444,0.05316558441558442
native,size_log_mcap,log(MarketCap),6m,33.0,56,-0.15637618755333632,-0.15606606665715178,-1.083502229599387,-0.999986254688926,0.046988014573418294
native,operating_profitability_approx,Operating income / book equity; ROE fallback for financials,6m,33.0,44,-0.0908446908676907,-0.0902107997587996,-1.0743992493652454,-0.9925397556835913,0.09604410740774379
native,gross_profitability,Gross profit / total assets,6m,33.0,35,-0.21753806729061131,-0.21690222415335636,-1.5244988901723868,-0.9999626637065876,0.09633986928104575
native,roe_standalone,Net income / book equity or stored ROE,6m,33.0,44,-0.11854375899551489,-0.11802269729151839,-1.1682255311934877,-0.9974564258670486,0.0789487430297707
native,roa_standalone,Net income / total assets or stored ROA,6m,33.0,44,-0.11593915195699145,-0.11550501055491527,-1.145237641843263,-0.9980343895716411,0.06577900031457344
native,accrual_quality,-(Net income - CFO) / assets,6m,33.0,44,0.039154674526989834,0.03979386248577019,0.3386087794695701,-0.7024692711608822,0.09684666042126516
native,piotroski_lite,Existing PIT Piotroski-lite score,6m,33.0,70,-0.04124918835003048,-0.04047233297724591,-0.4384464617400196,-0.9780145228972561,0.11770535951281291
native,conservative_investment,-asset growth,6m,33.0,44,0.07717862704000533,0.07807406761941595,0.90419803412263,-0.352569023057531,0.13567281506221127
native,low_leverage,-debt/assets,6m,33.0,44,-0.01973433829714237,-0.019148506365788697,-0.21672405284325216,-0.9215122527707363,0.08876241384146523
native,momentum_12_1,prior 252 trading-day return skipping 21 days,6m,33.0,57,0.1436050802523182,0.14602783991066134,0.5966821980203585,-0.9151917455580408,0.367084796718664
native,momentum_6_1,prior 126 trading-day return skipping 21 days,6m,33.0,63,0.04661402138906976,0.04956432694947058,0.2995346971611916,-0.9408481757027729,0.447015994000121
native,short_reversal,-prior 21 trading-day return,6m,33.0,69,-0.038646972391773414,-0.03322552798178555,-0.36022540128461733,-0.9862366774240052,0.8214309712102796
native,beta_high,market beta over 252 days,6m,33.0,0,,,,,
native,beta_low,-market beta over 252 days,6m,33.0,0,,,,,
native,low_total_volatility,-annualized realized volatility,6m,33.0,0,,,,,
native,low_idio_volatility,-market-model residual volatility,6m,33.0,0,,,,,
