sample,signal,definition,horizon,cost_bps,periods,top_bottom_spread,gross_top_bottom_spread,net_sharpe,max_drawdown,turnover
global_common,earnings_yield,Net income / market cap; negative earnings retained,6m,33.0,19,0.09552024087887805,0.09655088456955267,0.698832755752616,-0.4799100293550409,0.15615813495070463
global_common,book_to_market,Book equity / market cap,6m,33.0,19,0.12203486373695457,0.12288518473174925,0.9901582516087956,-0.21235020788325742,0.1288365143628302
global_common,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,6m,33.0,19,-0.04767810036886639,-0.046514236863950245,-0.40465169455707306,-0.8463949161081595,0.17634295529032373
global_common,cashflow_price,Operating cash flow / market cap,6m,33.0,19,-0.018743720231743744,-0.01776828186206389,-0.20343430511735966,-0.700369319480452,0.14779369237573572
global_common,sales_price,Revenue / market cap,6m,33.0,19,0.09829558493571518,0.0993120453174387,0.8099312335865916,-0.3469731187657138,0.15400914874599086
global_common,ebitda_ev_yield,EBITDA / enterprise value,6m,33.0,19,-0.009337030340590462,-0.008384226164157483,-0.11928127071271952,-0.5790256855823559,0.14436426915651293
global_common,small_size,-log(MarketCap),6m,33.0,19,0.10065620932347552,0.10158685131306493,1.1398601060355993,-0.16102805057634917,0.14100636205899364
global_common,size_log_mcap,log(MarketCap),6m,33.0,19,-0.10260033309444146,-0.10158685131306493,-1.1636769739502248,-0.898657597462716,0.15355784566310882
global_common,operating_profitability_approx,Operating income / book equity; ROE fallback for financials,6m,33.0,19,-0.11538709288543299,-0.114435109079765,-0.9708661891734705,-0.9192245091518314,0.14423997055576007
global_common,gross_profitability,Gross profit / total assets,6m,33.0,19,-0.002797864653563111,-0.0018555974470853803,-0.03672261627621832,-0.5812086135102978,0.14276775855723225
global_common,roe_standalone,Net income / book equity or stored ROE,6m,33.0,19,-0.11794900657756198,-0.1169923073634634,-1.393535983005411,-0.9037177689895418,0.144954426378575
global_common,roa_standalone,Net income / total assets or stored ROA,6m,33.0,19,-0.11859544689559742,-0.11768376384180913,-1.1070440108262078,-0.9441902478532906,0.1381337960285329
global_common,accrual_quality,-(Net income - CFO) / assets,6m,33.0,19,-0.00966067296742638,-0.008682014783505037,-0.07616405748910371,-0.7480025196498916,0.14828154301838514
global_common,piotroski_lite,Existing PIT Piotroski-lite score,6m,33.0,19,-0.07544923483503095,-0.07420747659327272,-0.6702220435983308,-0.8835417472435503,0.18814518814518813
global_common,conservative_investment,-asset growth,6m,33.0,19,-0.025042836357790463,-0.023692526675212978,-0.2884397412936783,-0.5358158572846234,0.20459237614810374
global_common,low_leverage,-debt/assets,6m,33.0,19,-0.03354203206255407,-0.032113018351806605,-0.3925818951500267,-0.7667043394851791,0.21651722890112982
global_common,momentum_12_1,prior 252 trading-day return skipping 21 days,6m,33.0,19,0.18128756892703318,0.18312214110408212,1.20262362290721,-0.2994757729520302,0.27796548137105415
global_common,momentum_6_1,prior 126 trading-day return skipping 21 days,6m,33.0,19,0.17311850025611275,0.17539231043200496,1.1669851587998352,-0.166224305972554,0.3445166933170029
global_common,short_reversal,-prior 21 trading-day return,6m,33.0,19,-0.09462176672895321,-0.08930247331787289,-0.656611714568465,-0.9107656804904681,0.8059535471333829
global_common,beta_high,market beta over 252 days,6m,33.0,19,0.1758109632911975,0.1771123108909661,1.3804940173532065,-0.06551032572403459,0.19717387875282613
global_common,beta_low,-market beta over 252 days,6m,33.0,19,-0.17933600292648477,-0.1771123108909661,-1.4031011189794247,-0.9798659768967055,0.3369230356846456
global_common,low_total_volatility,-annualized realized volatility,6m,33.0,19,-0.1742953177347696,-0.1724427960459321,-2.4206186642711445,-0.9726572056978231,0.2806851043693149
global_common,low_idio_volatility,-market-model residual volatility,6m,33.0,19,-0.16006835893342605,-0.15846725714048213,-2.348506918785329,-0.9622481378420643,0.24259118074907549
