sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue,controls
native_size_neutral,classical_characteristics,"A composite: z(B/M) + z(profitability approximation) - z(asset growth), >=2 components",1m,49,2520,0.047866860098406065,0.038955213911896304,0.22381102832718186,0.5714285714285714,1.4003292359372763,0.16141474986272786,size_log_mcap
native_size_neutral,classical_characteristics,"A composite: z(B/M) + z(profitability approximation) - z(asset growth), >=2 components",3m,47,2380,0.05365437020573049,0.04164666099698957,0.2804424764006605,0.574468085106383,0.8054574583483348,0.4205557461149505,size_log_mcap
native_size_neutral,classical_characteristics,"A composite: z(B/M) + z(profitability approximation) - z(asset growth), >=2 components",6m,44,2170,0.08688512367514233,0.04836101398601399,0.3262414920818733,0.6590909090909091,0.8873537776328999,0.37488846074867777,size_log_mcap
native_size_neutral,classical_characteristics,"A composite: z(B/M) + z(profitability approximation) - z(asset growth), >=2 components",12m,38,1761,0.1978784582276357,0.22234432234432233,0.24941030911592002,0.8157894736842105,2.34223258073108,0.019168765397082455,size_log_mcap
native_size_neutral,intrinsic_valuation,"B systematic PIT valuation gap from valuation engine base scenario, fixed default assumptions",1m,13,573,-0.04208473521107053,-0.00911854103343465,0.22547118423120371,0.46153846153846156,-0.6662635300133719,0.5052426721006127,size_log_mcap
native_size_neutral,intrinsic_valuation,"B systematic PIT valuation gap from valuation engine base scenario, fixed default assumptions",3m,12,521,-0.013958898725164209,0.03947580234679837,0.2393734629900339,0.5833333333333334,-0.2598725719081403,0.7949620690161281,size_log_mcap
native_size_neutral,intrinsic_valuation,"B systematic PIT valuation gap from valuation engine base scenario, fixed default assumptions",6m,11,474,0.04035928047465291,0.11557434813248765,0.1944570827577495,0.6363636363636364,1.1281973124210347,0.2592365987150598,size_log_mcap
native_size_neutral,intrinsic_valuation,"B systematic PIT valuation gap from valuation engine base scenario, fixed default assumptions",12m,9,381,0.13695697641796442,0.14729907773386033,0.14447383823755386,0.7777777777777778,4.442905215693682,8.875227038629419e-06,size_log_mcap
native_size_neutral,fundamental_momentum,C accounting change/improvement composite; no analyst revisions due lack of true revision history,1m,49,2505,-0.008104112004483818,-0.01818181818181818,0.23233569937842882,0.3877551020408163,-0.2816381083632866,0.7782210162786996,size_log_mcap
native_size_neutral,fundamental_momentum,C accounting change/improvement composite; no analyst revisions due lack of true revision history,3m,47,2365,-0.057787545681659676,-0.03927930679085391,0.18470702427203212,0.2978723404255319,-1.685186879214916,0.09195252170521773,size_log_mcap
native_size_neutral,fundamental_momentum,C accounting change/improvement composite; no analyst revisions due lack of true revision history,6m,44,2155,-0.04565177648842625,-0.05002956602221309,0.18857094139886776,0.36363636363636365,-1.2493977654956876,0.2115196253094156,size_log_mcap
native_size_neutral,fundamental_momentum,C accounting change/improvement composite; no analyst revisions due lack of true revision history,12m,38,1746,-0.11898964689688489,-0.07593656343656344,0.24573108678731367,0.2631578947368421,-1.7629440148267712,0.07790993253840561,size_log_mcap
native_size_neutral,residual_value,"D cheapness residual from log(P/B) explained by ROE, revenue growth, and size",1m,36,2265,0.0661903214113937,0.08023489763805734,0.12694614554592937,0.6666666666666666,3.0362792959206892,0.002395173862546063,size_log_mcap
native_size_neutral,residual_value,"D cheapness residual from log(P/B) explained by ROE, revenue growth, and size",3m,34,2131,0.09593355231698897,0.0575598713577829,0.15199036764450202,0.6764705882352942,2.4208611213478983,0.01548379148466239,size_log_mcap
native_size_neutral,residual_value,"D cheapness residual from log(P/B) explained by ROE, revenue growth, and size",6m,31,1930,0.11739592169119735,0.06355311355311355,0.15410133015244196,0.7741935483870968,1.9269643040552054,0.053984078651922784,size_log_mcap
native_size_neutral,residual_value,"D cheapness residual from log(P/B) explained by ROE, revenue growth, and size",12m,25,1539,0.1278274060791537,0.09390345244390723,0.17641084064011617,0.76,1.44610374168541,0.14814810642802256,size_log_mcap
