symbol,as_of_date,fair_value,close,valuation_gap,usable_model_count,confidence_score,warnings
ATW,2017-03-31,,400.0,,0,,no_usable_valuation_models
IAM,2017-03-31,,137.087,,0,,no_usable_valuation_models
MSA,2017-03-31,,132.8,,0,,no_usable_valuation_models
ATW,2017-06-30,,440.05,,0,,no_usable_valuation_models
IAM,2017-06-30,,141.225,,0,,no_usable_valuation_models
MSA,2017-06-30,,142.9,,0,,no_usable_valuation_models
ATW,2017-09-30,,465.0,,0,,no_usable_valuation_models
IAM,2017-09-30,,137.325,,0,,no_usable_valuation_models
MSA,2017-09-30,,137.6,,0,,no_usable_valuation_models
ATW,2017-12-31,,484.0,,0,,no_usable_valuation_models
IAM,2017-12-31,,135.7,,0,,no_usable_valuation_models
MSA,2017-12-31,,160.0,,0,,no_usable_valuation_models
ATW,2018-03-31,,500.0,,0,,no_usable_valuation_models
IAM,2018-03-31,,148.712,,0,,no_usable_valuation_models
MSA,2018-03-31,,183.4,,0,,no_usable_valuation_models
ATW,2018-06-30,,470.0,,0,,no_usable_valuation_models
IAM,2018-06-30,,139.25,,0,,no_usable_valuation_models
MSA,2018-06-30,,164.0,,0,,no_usable_valuation_models
ATW,2018-09-30,,450.0,,0,,no_usable_valuation_models
IAM,2018-09-30,,142.55,,0,,no_usable_valuation_models
MSA,2018-09-30,,169.0,,0,,no_usable_valuation_models
ATW,2018-12-31,,453.0,,0,,no_usable_valuation_models
CSR,2018-12-31,,174.5,,0,,no_usable_valuation_models
IAM,2018-12-31,,141.025,,0,,no_usable_valuation_models
MSA,2018-12-31,,164.0,,0,,no_usable_valuation_models
ATW,2019-03-31,,425.0,,0,,no_usable_valuation_models
CSR,2019-03-31,,177.5,,0,,no_usable_valuation_models
IAM,2019-03-31,,145.3,,0,,no_usable_valuation_models
MSA,2019-03-31,,180.05,,0,,no_usable_valuation_models
ATW,2019-06-30,,466.0,,0,,no_usable_valuation_models
CSR,2019-06-30,,203.0,,0,,no_usable_valuation_models
IAM,2019-06-30,,138.938,,0,,no_usable_valuation_models
MSA,2019-06-30,,189.0,,0,,no_usable_valuation_models
ATW,2019-09-30,,479.5,,0,,no_usable_valuation_models
CSR,2019-09-30,,210.0,,0,,no_usable_valuation_models
IAM,2019-09-30,,141.738,,0,,no_usable_valuation_models
MSA,2019-09-30,,179.95,,0,,no_usable_valuation_models
ATW,2019-12-31,,499.0,,0,,no_usable_valuation_models
CSR,2019-12-31,,218.9,,0,,no_usable_valuation_models
IAM,2019-12-31,,152.825,,0,,no_usable_valuation_models
MSA,2019-12-31,,207.0,,0,,no_usable_valuation_models
ADH,2020-03-31,,6.64,,0,,no_usable_valuation_models
ATW,2020-03-31,,371.9,,0,,no_usable_valuation_models
BCP,2020-03-31,,216.0,,0,,no_usable_valuation_models
CDM,2020-03-31,,482.0,,0,,no_usable_valuation_models
CSR,2020-03-31,,175.0,,0,,no_usable_valuation_models
IAM,2020-03-31,,127.125,,0,,no_usable_valuation_models
JET,2020-03-31,,187.2,,0,,no_usable_valuation_models
LHM,2020-03-31,,1310.0,,0,,no_usable_valuation_models
MSA,2020-03-31,,155.0,,0,,no_usable_valuation_models
SNA,2020-03-31,,9.5,,0,,no_usable_valuation_models
ADH,2020-06-30,,7.0,,0,,no_usable_valuation_models
ATW,2020-06-30,,356.0,,0,,no_usable_valuation_models
BCP,2020-06-30,,219.8,,0,,no_usable_valuation_models
CDM,2020-06-30,,431.25,,0,,no_usable_valuation_models
CSR,2020-06-30,,204.5,,0,,no_usable_valuation_models
IAM,2020-06-30,,138.8,,0,,no_usable_valuation_models
JET,2020-06-30,,188.0,,0,,no_usable_valuation_models
LHM,2020-06-30,,1350.0,,0,,no_usable_valuation_models
MSA,2020-06-30,,192.0,,0,,no_usable_valuation_models
SNA,2020-06-30,,9.41,,0,,no_usable_valuation_models
ADH,2020-09-30,,5.82,,0,,no_usable_valuation_models
ATW,2020-09-30,,357.7,,0,,no_usable_valuation_models
BCP,2020-09-30,,231.05,,0,,no_usable_valuation_models
CDM,2020-09-30,,377.0,,0,,no_usable_valuation_models
CSR,2020-09-30,,193.35,,0,,no_usable_valuation_models
IAM,2020-09-30,,136.163,,0,,no_usable_valuation_models
JET,2020-09-30,,177.8,,0,,no_usable_valuation_models
LHM,2020-09-30,,1329.0,,0,,no_usable_valuation_models
MSA,2020-09-30,,181.5,,0,,no_usable_valuation_models
SNA,2020-09-30,,10.7,,0,,no_usable_valuation_models
ADH,2020-12-31,,6.39,,0,,no_usable_valuation_models
ATW,2020-12-31,,423.25,,0,,no_usable_valuation_models
BCP,2020-12-31,,249.7,,0,,no_usable_valuation_models
CDM,2020-12-31,,458.9,,0,,no_usable_valuation_models
CSR,2020-12-31,,210.1,,0,,no_usable_valuation_models
IAM,2020-12-31,,143.95,,0,,no_usable_valuation_models
JET,2020-12-31,,202.0,,0,,no_usable_valuation_models
LHM,2020-12-31,,1600.0,,0,,no_usable_valuation_models
MSA,2020-12-31,,210.0,,0,,no_usable_valuation_models
SNA,2020-12-31,,10.34,,0,,no_usable_valuation_models
ADH,2021-03-31,,6.19,,0,,no_usable_valuation_models
ATW,2021-03-31,,421.35,,0,,no_usable_valuation_models
BCP,2021-03-31,,253.0,,0,,no_usable_valuation_models
CDM,2021-03-31,,450.0,,0,,no_usable_valuation_models
CSR,2021-03-31,,240.7,,0,,no_usable_valuation_models
IAM,2021-03-31,,139.387,,0,,no_usable_valuation_models
JET,2021-03-31,,201.0,,0,,no_usable_valuation_models
LHM,2021-03-31,,1610.0,,0,,no_usable_valuation_models
MSA,2021-03-31,,216.0,,0,,no_usable_valuation_models
SNA,2021-03-31,,11.5,,0,,no_usable_valuation_models
ADH,2021-06-30,,10.48,,0,,no_usable_valuation_models
ATW,2021-06-30,,459.0,,0,,no_usable_valuation_models
BCP,2021-06-30,,266.0,,0,,no_usable_valuation_models
CDM,2021-06-30,,445.45,,0,,no_usable_valuation_models
CSR,2021-06-30,,272.85,,0,,no_usable_valuation_models
IAM,2021-06-30,,136.975,,0,,no_usable_valuation_models
JET,2021-06-30,,255.0,,0,,no_usable_valuation_models
LHM,2021-06-30,,1845.0,,0,,no_usable_valuation_models
MSA,2021-06-30,,250.0,,0,,no_usable_valuation_models
SNA,2021-06-30,,12.5,,0,,no_usable_valuation_models
ADH,2021-09-30,,11.76,,0,,no_usable_valuation_models
ATW,2021-09-30,,495.0,,0,,no_usable_valuation_models
BCP,2021-09-30,,276.0,,0,,no_usable_valuation_models
CDM,2021-09-30,,538.0,,0,,no_usable_valuation_models
CSR,2021-09-30,,275.0,,0,,no_usable_valuation_models
IAM,2021-09-30,,142.387,,0,,no_usable_valuation_models
JET,2021-09-30,,253.4,,0,,no_usable_valuation_models
LHM,2021-09-30,,2179.0,,0,,no_usable_valuation_models
MSA,2021-09-30,,283.0,,0,,no_usable_valuation_models
SNA,2021-09-30,,15.5,,0,,no_usable_valuation_models
ADH,2021-12-31,,10.61,,0,,no_usable_valuation_models
ATW,2021-12-31,,487.0,,0,,no_usable_valuation_models
