symbol,sector,key,value,provenance
MNG,Mines,beta,1.0339302550920764,beta_history
MNG,Mines,beta_min_observations,60.0,default
MNG,Mines,beta_window_years,2.0,default
MNG,Mines,beta_zero_return_threshold,0.3,default
MNG,Mines,bs_balance_fail_bps,200.0,default
MNG,Mines,bs_balance_warn_bps,50.0,default
MNG,Mines,capex_heavy_fcf_weight_cap,0.15,default
MNG,Mines,capex_heavy_non_recovery_weight_cap,0.05,default
MNG,Mines,capex_heavy_recovery_weight_multiplier,1.5,default
MNG,Mines,computed_debt_weight,0.07484804866934985,computed
MNG,Mines,computed_equity_weight,0.9251519513306501,computed
