as_of_date,total_listed,eligible_universe,eligible_bm,eligible_cfp,excluded_sah
2017-03-31,3,2,1,0,0
2017-04-30,3,2,1,0,0
2017-05-31,3,2,1,0,0
2017-06-30,3,2,1,0,0
2017-07-31,3,2,1,0,0
2017-08-31,3,2,1,0,0
2017-09-30,3,2,1,0,0
2017-10-31,3,2,1,0,0
2017-11-30,3,2,1,0,0
2017-12-31,3,2,1,0,0
2018-01-31,3,2,1,0,0
2018-02-28,3,2,1,0,0
2018-03-31,3,3,1,0,0
2018-04-30,3,3,1,0,0
2018-05-31,3,3,1,0,0
2018-06-30,3,3,1,0,0
2018-07-31,3,3,1,0,0
2018-08-31,3,3,1,0,0
2018-09-30,3,3,1,0,0
2018-10-31,4,3,1,0,0
2018-11-30,4,3,1,0,0
2018-12-31,4,3,1,0,0
2019-01-31,4,3,1,0,0
2019-02-28,4,3,1,0,0
2019-03-31,4,3,3,0,0
2019-04-30,4,3,3,0,0
2019-05-31,4,3,3,0,0
2019-06-30,4,3,3,0,0
2019-07-31,4,3,3,0,0
2019-08-31,4,3,3,0,0
2019-09-30,4,3,3,0,0
2019-10-31,4,3,3,0,0
2019-11-30,4,3,3,0,0
2019-12-31,4,3,3,0,0
2020-01-31,10,3,3,0,0
2020-02-29,10,3,3,0,0
2020-03-31,10,4,3,0,0
2020-04-30,10,4,3,0,0
2020-05-31,10,4,3,0,0
2020-06-30,10,4,3,0,0
2020-07-31,10,4,3,0,0
2020-08-31,10,4,3,0,0
2020-09-30,10,4,3,0,0
2020-10-31,10,4,3,0,0
2020-11-30,10,4,3,0,0
2020-12-31,10,4,3,0,0
2021-01-31,10,4,3,0,0
2021-02-28,10,4,3,0,0
2021-03-31,10,10,7,0,0
2021-04-30,10,10,7,0,0
2021-05-31,10,10,7,0,0
2021-06-30,10,10,7,0,0
2021-07-31,10,10,7,0,0
2021-08-31,10,10,7,0,0
2021-09-30,10,10,7,0,0
2021-10-31,10,10,7,0,0
2021-11-30,10,10,7,0,0
2021-12-31,10,10,7,0,0
2022-01-31,11,10,7,0,0
2022-02-28,11,10,7,1,0
2022-03-31,11,11,10,8,0
2022-04-30,11,11,10,8,0
2022-05-31,11,11,10,8,0
2022-06-30,11,11,10,8,0
2022-07-31,11,11,10,8,0
2022-08-31,11,11,10,8,0
2022-09-30,11,11,10,8,0
2022-10-31,11,11,10,8,0
2022-11-30,11,11,10,8,0
2022-12-31,12,12,11,9,0
2023-01-31,12,12,11,9,0
2023-02-28,12,12,11,9,0
2023-03-31,12,12,11,9,0
2023-04-30,65,63,60,50,1
2023-05-31,66,63,60,50,1
2023-06-30,66,63,60,50,1
2023-07-31,66,63,60,50,1
2023-08-31,66,63,60,50,1
2023-09-30,66,63,60,50,1
2023-10-31,66,63,60,50,1
2023-11-30,66,63,60,50,1
2023-12-31,67,64,61,50,1
2024-01-31,67,64,61,50,1
2024-02-29,67,64,61,50,1
2024-03-31,67,64,61,50,1
2024-04-30,67,64,61,50,1
2024-05-31,67,64,61,50,1
2024-06-30,67,64,61,50,1
2024-07-31,67,64,61,50,1
2024-08-31,67,64,61,50,1
2024-09-30,67,64,61,50,1
2024-10-31,67,64,61,50,1
2024-11-30,67,64,61,50,1
2024-12-31,68,65,62,51,1
2025-01-31,68,65,62,51,1
2025-02-28,68,65,62,51,1
2025-03-31,68,66,63,52,1
2025-04-30,68,66,63,52,1
2025-05-31,68,66,63,52,1
2025-06-30,68,66,63,52,1
2025-07-31,69,67,64,53,1
2025-08-31,69,67,64,53,1
2025-09-30,69,67,64,53,1
2025-10-31,69,67,64,53,1
2025-11-30,69,67,64,53,1
2025-12-31,71,69,66,55,1
2026-01-31,71,69,66,55,1
2026-02-28,71,69,66,55,1
2026-03-31,71,69,66,54,1
2026-04-30,71,69,66,54,1
2026-05-31,71,69,66,54,1
