as_of_date,n_holdings,gross_return,turnover,cost,net_return
2017-03-31,0,0.0,0.0,0.0,0.0
2017-09-30,0,0.0,0.0,0.0,0.0
2018-03-31,0,0.0,0.0,0.0,0.0
2018-09-30,0,0.0,0.0,0.0,0.0
2019-03-31,0,0.0,0.0,0.0,0.0
2019-09-30,0,0.0,0.0,0.0,0.0
2020-03-31,0,0.0,0.0,0.0,0.0
2020-09-30,0,0.0,0.0,0.0,0.0
2021-03-31,0,0.0,0.0,0.0,0.0
2021-09-30,0,0.0,0.0,0.0,0.0
2022-03-31,3,0.0,1.0,0.0066,-0.0066
2022-09-30,3,0.009028735632183944,0.0,0.0,0.009028735632183944
2023-03-31,3,-0.07672985702756593,0.0,0.0,-0.07672985702756593
2023-09-30,20,0.9276033823170229,0.85,0.0056099999999999995,0.9219933823170229
2024-03-31,20,0.16183956454799373,0.15000000000000002,0.0009900000000000002,0.16084956454799373
2024-09-30,20,0.5085355225695934,0.0,0.0,0.5085355225695934
2025-03-31,21,0.28962602899908063,0.09523809523809529,0.0006285714285714289,0.2889974575705092
2025-09-30,21,0.1282690755418741,0.0,0.0,0.1282690755418741
2026-03-31,22,-0.10202504246727162,0.18181818181818177,0.0011999999999999997,-0.10322504246727163
