as_of_date,n_holdings,gross_return,turnover,cost,net_return
2017-03-31,0,0.0,0.0,0.0,0.0
2017-09-30,0,0.0,0.0,0.0,0.0
2018-03-31,0,0.0,0.0,0.0,0.0
2018-09-30,0,0.0,0.0,0.0,0.0
2019-03-31,0,0.0,0.0,0.0,0.0
2019-09-30,0,0.0,0.0,0.0,0.0
2020-03-31,0,0.0,0.0,0.0,0.0
2020-09-30,0,0.0,0.0,0.0,0.0
2021-03-31,0,0.0,0.0,0.0,0.0
2021-09-30,0,0.0,0.0,0.0,0.0
2022-03-31,0,0.0,0.0,0.0,0.0
2022-09-30,0,0.0,0.0,0.0,0.0
2023-03-31,3,0.0,1.0,0.0066,-0.0066
2023-09-30,16,0.5454274842033621,0.8125,0.0053625,0.540064984203362
2024-03-31,16,0.11774444124074077,0.5625,0.0037125,0.11403194124074077
2024-09-30,16,0.3940895088190649,0.0,0.0,0.3940895088190649
2025-03-31,17,0.4648732847117017,0.47058823529411764,0.003105882352941176,0.4617674023587605
2025-09-30,17,0.3294350505242055,0.0,0.0,0.3294350505242055
2026-03-31,18,-0.08821770511508194,0.5,0.0033,-0.09151770511508193
