as_of_date,n_holdings,gross_return,turnover,cost,net_return
2017-03-31,0,0.0,0.0,0.0,0.0
2017-09-30,0,0.0,0.0,0.0,0.0
2018-03-31,0,0.0,0.0,0.0,0.0
2018-09-30,0,0.0,0.0,0.0,0.0
2019-03-31,0,0.0,0.0,0.0,0.0
2019-09-30,0,0.0,0.0,0.0,0.0
2020-03-31,0,0.0,0.0,0.0,0.0
2020-09-30,0,0.0,0.0,0.0,0.0
2021-03-31,0,0.0,0.0,0.0,0.0
2021-09-30,0,0.0,0.0,0.0,0.0
2022-03-31,0,0.0,0.0,0.0,0.0
2022-09-30,0,0.0,0.0,0.0,0.0
2023-03-31,0,0.0,0.0,0.0,0.0
2023-09-30,15,0.0,1.0,0.0066,-0.0066
2024-03-31,15,0.20796404641295238,0.4666666666666667,0.00308,0.20488404641295238
2024-09-30,15,0.32690351801736145,0.0,0.0,0.32690351801736145
2025-03-31,16,0.44390184551431905,0.375,0.0024749999999999998,0.44142684551431904
2025-09-30,16,0.12766674249910925,0.0,0.0,0.12766674249910925
2026-03-31,17,-0.057465996991883025,0.4117647058823529,0.002717647058823529,-0.06018364405070655
