symbol,cumulative_weight_time,n_dates_in_top_tercile,share_of_total_exposure
ADH,6.184632034632031,51,0.12126729479670653
ADI,6.048268398268394,48,0.11859349800526266
JET,6.048268398268394,48,0.11859349800526266
ARD,1.8512987012987019,38,0.036299974535268675
BCI,1.8512987012987019,38,0.036299974535268675
BCP,1.8512987012987019,38,0.036299974535268675
BOA,1.8512987012987019,38,0.036299974535268675
CDM,1.8512987012987019,38,0.036299974535268675
CRS,1.8512987012987019,38,0.036299974535268675
EQD,1.8512987012987019,38,0.036299974535268675
INV,1.8512987012987019,38,0.036299974535268675
MLE,1.8512987012987019,38,0.036299974535268675
MOX,1.8512987012987019,38,0.036299974535268675
RDS,1.8512987012987019,38,0.036299974535268675
REB,1.8512987012987019,38,0.036299974535268675
SRM,1.8512987012987019,38,0.036299974535268675
ZDJ,1.8512987012987019,38,0.036299974535268675
IMO,1.3012987012987014,27,0.025515660809778466
FBR,1.1649350649350652,24,0.02284186401833462
MAB,0.7012987012987011,15,0.013750954927425516
WAA,0.7012987012987011,15,0.013750954927425516
DYT,0.6,12,0.011764705882352944
DHO,0.5954545454545453,12,0.011675579322638147
RIS,0.5499999999999999,11,0.010784313725490198
SID,0.5499999999999999,11,0.010784313725490198
M2M,0.2272727272727273,5,0.004456327985739752
CIH,0.13636363636363635,3,0.002673796791443851
SLF,0.13636363636363635,3,0.002673796791443851
COL,0.09090909090909091,2,0.0017825311942959007
ATW,0.045454545454545456,1,0.0008912655971479504
