metric_name,period_type,distinct_symbols,row_count
Capitaux_propres,annual,72,1692
Capitaux_propres,quarterly,11,149
Capitaux_propres,semiannual,69,756
Cash,quarterly,8,134
Cash,semiannual,60,525
EBITDA,annual,72,1494
EBITDA,quarterly,2,24
EBITDA,semiannual,60,503
NetIncome,quarterly,8,143
NetIncome,semiannual,62,561
Operating_Cash_Flow,quarterly,3,13
Operating_Cash_Flow,semiannual,53,413
Revenue,quarterly,8,143
Revenue,semiannual,56,509
Shares_Outstanding,quarterly,8,143
Shares_Outstanding,semiannual,62,561
Total_Assets,quarterly,8,134
Total_Assets,semiannual,62,543
Total_Debt,quarterly,8,141
Total_Debt,semiannual,60,519
Total_Equity,quarterly,8,141
Total_Equity,semiannual,62,543
