as_of_date,n_eligible_universe,n_eligible_bm,n_momentum_12_1_notna,n_momentum_6_1_notna,pct_momentum_12_1_of_eligible_bm
2017-03-31,2,1,2,2,2.0
2017-04-30,2,1,2,2,2.0
2017-05-31,2,1,2,2,2.0
2017-06-30,2,1,2,2,2.0
2017-07-31,2,1,2,2,2.0
2017-08-31,2,1,2,2,2.0
2017-09-30,2,1,2,2,2.0
2017-10-31,2,1,2,2,2.0
2017-11-30,2,1,2,2,2.0
2017-12-31,2,1,2,2,2.0
2018-01-31,2,1,2,2,2.0
2018-02-28,2,1,2,2,2.0
2018-03-31,3,1,3,3,3.0
2018-04-30,3,1,3,3,3.0
2018-05-31,3,1,3,3,3.0
2018-06-30,3,1,3,3,3.0
2018-07-31,3,1,3,3,3.0
2018-08-31,3,1,3,3,3.0
2018-09-30,3,1,3,3,3.0
2018-10-31,3,1,3,3,3.0
2018-11-30,3,1,3,3,3.0
2018-12-31,3,1,3,3,3.0
2019-01-31,3,1,3,3,3.0
2019-02-28,3,1,3,3,3.0
2019-03-31,3,3,3,3,1.0
2019-04-30,3,3,3,3,1.0
2019-05-31,3,3,3,3,1.0
2019-06-30,3,3,3,3,1.0
2019-07-31,3,3,3,3,1.0
2019-08-31,3,3,3,3,1.0
2019-09-30,3,3,3,3,1.0
2019-10-31,3,3,3,3,1.0
2019-11-30,3,3,3,3,1.0
2019-12-31,3,3,3,3,1.0
2020-01-31,3,3,3,3,1.0
2020-02-29,3,3,3,3,1.0
2020-03-31,4,3,4,4,1.3333333333333333
2020-04-30,4,3,4,4,1.3333333333333333
2020-05-31,4,3,4,4,1.3333333333333333
2020-06-30,4,3,4,4,1.3333333333333333
2020-07-31,4,3,4,4,1.3333333333333333
2020-08-31,4,3,4,4,1.3333333333333333
2020-09-30,4,3,4,4,1.3333333333333333
2020-10-31,4,3,4,4,1.3333333333333333
2020-11-30,4,3,4,4,1.3333333333333333
2020-12-31,4,3,4,4,1.3333333333333333
2021-01-31,4,3,4,4,1.3333333333333333
2021-02-28,4,3,4,4,1.3333333333333333
2021-03-31,10,7,10,10,1.4285714285714286
2021-04-30,10,7,10,10,1.4285714285714286
2021-05-31,10,7,10,10,1.4285714285714286
2021-06-30,10,7,10,10,1.4285714285714286
2021-07-31,10,7,10,10,1.4285714285714286
2021-08-31,10,7,10,10,1.4285714285714286
2021-09-30,10,7,10,10,1.4285714285714286
2021-10-31,10,7,10,10,1.4285714285714286
2021-11-30,10,7,10,10,1.4285714285714286
2021-12-31,10,7,10,10,1.4285714285714286
2022-01-31,10,7,10,10,1.4285714285714286
2022-02-28,10,7,10,10,1.4285714285714286
2022-03-31,11,10,10,10,1.0
2022-04-30,11,10,10,10,1.0
2022-05-31,11,10,10,10,1.0
2022-06-30,11,10,10,10,1.0
2022-07-31,11,10,10,10,1.0
2022-08-31,11,10,10,11,1.0
2022-09-30,11,10,10,11,1.0
2022-10-31,11,10,10,11,1.0
2022-11-30,11,10,10,11,1.0
2022-12-31,12,11,10,11,0.9090909090909091
2023-01-31,12,11,10,11,0.9090909090909091
2023-02-28,12,11,11,11,1.0
2023-03-31,12,11,11,11,1.0
2023-04-30,63,60,11,11,0.18333333333333332
2023-05-31,63,60,11,11,0.18333333333333332
2023-06-30,63,60,11,11,0.18333333333333332
2023-07-31,63,60,11,12,0.18333333333333332
2023-08-31,63,60,11,12,0.18333333333333332
2023-09-30,63,60,11,12,0.18333333333333332
2023-10-31,63,60,11,12,0.18333333333333332
2023-11-30,63,60,11,63,0.18333333333333332
2023-12-31,64,61,12,63,0.19672131147540983
2024-01-31,64,61,12,63,0.19672131147540983
2024-02-29,64,61,12,63,0.19672131147540983
2024-03-31,64,61,12,63,0.19672131147540983
2024-04-30,64,61,60,63,0.9836065573770492
2024-05-31,64,61,63,63,1.0327868852459017
2024-06-30,64,61,63,63,1.0327868852459017
2024-07-31,64,61,63,64,1.0327868852459017
2024-08-31,64,61,63,64,1.0327868852459017
2024-09-30,64,61,63,64,1.0327868852459017
2024-10-31,64,61,63,64,1.0327868852459017
2024-11-30,64,61,63,64,1.0327868852459017
2024-12-31,65,62,63,64,1.0161290322580645
2025-01-31,65,62,64,64,1.032258064516129
2025-02-28,65,62,64,64,1.032258064516129
2025-03-31,66,63,65,65,1.0317460317460319
2025-04-30,66,63,65,65,1.0317460317460319
2025-05-31,66,63,65,65,1.0317460317460319
2025-06-30,66,63,65,65,1.0317460317460319
2025-07-31,67,64,65,66,1.015625
2025-08-31,67,64,65,66,1.015625
2025-09-30,67,64,65,66,1.015625
2025-10-31,67,64,65,66,1.015625
2025-11-30,67,64,65,66,1.015625
2025-12-31,69,66,65,66,0.9848484848484849
2026-01-31,69,66,66,66,1.0
2026-02-28,69,66,66,67,1.0
2026-03-31,69,66,66,67,1.0
2026-04-30,69,66,66,67,1.0
2026-05-31,69,66,66,67,1.0
