period,months,cumulative_return,sharpe,max_drawdown,cell
Normalization (2013-2019),34,0.0,,0.0,VM_int_capped
COVID shock & aftershocks (2020-2021),24,0.0,,0.0,VM_int_capped
Inflation / rates shock (2022-2023),24,0.10482199438111017,1.000150580191695,-0.046548120956417804,VM_int_capped
Post-2024 cycle (2024-2026),29,1.2424975019195434,1.8635611974718802,-0.15918753624178428,VM_int_capped
Normalization (2013-2019),34,0.0,,0.0,C0a
COVID shock & aftershocks (2020-2021),24,0.0,,0.0,C0a
Inflation / rates shock (2022-2023),24,0.37198225773511107,1.0771698798396814,-0.13901244602814533,C0a
Post-2024 cycle (2024-2026),29,1.3390197536909874,1.9606141536224786,-0.1358063206031601,C0a
Normalization (2013-2019),34,0.0,,0.0,M12
COVID shock & aftershocks (2020-2021),24,0.053283482084107714,0.4600458171531228,-0.060419407876179054,M12
Inflation / rates shock (2022-2023),24,0.03597231096283515,0.18777674347905512,-0.3416061740358828,M12
Post-2024 cycle (2024-2026),29,3.371724038494884,2.1949868086985354,-0.193316626569641,M12
