date,action,symbol,vintage_formed,weight
2022-03-31,BUY,ADH,2022-03-31,0.024999999999999998
2022-03-31,BUY,ADI,2022-03-31,0.024999999999999998
2022-03-31,BUY,CDM,2022-03-31,0.049999999999999996
2022-04-30,BUY,ADH,2022-04-30,0.024999999999999998
2022-04-30,BUY,ADI,2022-04-30,0.024999999999999998
2022-04-30,BUY,CDM,2022-04-30,0.049999999999999996
2022-05-31,BUY,ADH,2022-05-31,0.024999999999999998
2022-05-31,BUY,ADI,2022-05-31,0.024999999999999998
2022-05-31,BUY,CDM,2022-05-31,0.049999999999999996
2022-06-30,BUY,ADI,2022-06-30,0.049999999999999996
2022-06-30,BUY,CDM,2022-06-30,0.049999999999999996
2022-06-30,BUY,LHM,2022-06-30,0.049999999999999996
2022-07-31,BUY,ADI,2022-07-31,0.049999999999999996
2022-07-31,BUY,ATW,2022-07-31,0.024999999999999998
2022-07-31,BUY,CDM,2022-07-31,0.024999999999999998
2022-08-31,BUY,ADI,2022-08-31,0.049999999999999996
2022-08-31,BUY,BCP,2022-08-31,0.024999999999999998
2022-08-31,BUY,CDM,2022-08-31,0.024999999999999998
2022-09-30,SELL,ADH,2022-03-31,0.024999999999999998
2022-09-30,SELL,ADI,2022-03-31,0.024999999999999998
2022-09-30,SELL,CDM,2022-03-31,0.049999999999999996
2022-09-30,BUY,ADI,2022-09-30,0.049999999999999996
2022-09-30,BUY,BCP,2022-09-30,0.024999999999999998
2022-09-30,BUY,CDM,2022-09-30,0.024999999999999998
2022-10-31,SELL,ADH,2022-04-30,0.024999999999999998
2022-10-31,SELL,ADI,2022-04-30,0.024999999999999998
2022-10-31,SELL,CDM,2022-04-30,0.049999999999999996
2022-10-31,BUY,ADI,2022-10-31,0.049999999999999996
2022-10-31,BUY,BCP,2022-10-31,0.024999999999999998
2022-10-31,BUY,CDM,2022-10-31,0.024999999999999998
2022-11-30,SELL,ADH,2022-05-31,0.024999999999999998
2022-11-30,SELL,ADI,2022-05-31,0.024999999999999998
2022-11-30,SELL,CDM,2022-05-31,0.049999999999999996
2022-11-30,BUY,ADI,2022-11-30,0.049999999999999996
2022-11-30,BUY,CDM,2022-11-30,0.049999999999999996
2022-11-30,BUY,JET,2022-11-30,0.049999999999999996
2022-12-31,SELL,ADI,2022-06-30,0.049999999999999996
2022-12-31,SELL,CDM,2022-06-30,0.049999999999999996
2022-12-31,SELL,LHM,2022-06-30,0.049999999999999996
2022-12-31,BUY,ADI,2022-12-31,0.049999999999999996
2022-12-31,BUY,CDM,2022-12-31,0.049999999999999996
2022-12-31,BUY,JET,2022-12-31,0.049999999999999996
2023-01-31,SELL,ADI,2022-07-31,0.049999999999999996
2023-01-31,SELL,ATW,2022-07-31,0.024999999999999998
2023-01-31,SELL,CDM,2022-07-31,0.024999999999999998
2023-01-31,BUY,ADI,2023-01-31,0.049999999999999996
2023-01-31,BUY,CDM,2023-01-31,0.049999999999999996
2023-01-31,BUY,JET,2023-01-31,0.049999999999999996
2023-02-28,SELL,ADI,2022-08-31,0.049999999999999996
2023-02-28,SELL,BCP,2022-08-31,0.024999999999999998
2023-02-28,SELL,CDM,2022-08-31,0.024999999999999998
2023-02-28,BUY,ADI,2023-02-28,0.049999999999999996
2023-02-28,BUY,CDM,2023-02-28,0.049999999999999996
2023-02-28,BUY,JET,2023-02-28,0.049999999999999996
2023-03-31,SELL,ADI,2022-09-30,0.049999999999999996
2023-03-31,SELL,BCP,2022-09-30,0.024999999999999998
2023-03-31,SELL,CDM,2022-09-30,0.024999999999999998
2023-03-31,BUY,ADI,2023-03-31,0.049999999999999996
2023-03-31,BUY,CDM,2023-03-31,0.049999999999999996
2023-03-31,BUY,JET,2023-03-31,0.049999999999999996
2023-04-30,SELL,ADI,2022-10-31,0.049999999999999996
2023-04-30,SELL,BCP,2022-10-31,0.024999999999999998
2023-04-30,SELL,CDM,2022-10-31,0.024999999999999998
2023-04-30,BUY,ADI,2023-04-30,0.008333333333333333
2023-04-30,BUY,ARD,2023-04-30,0.008333333333333333
2023-04-30,BUY,ATW,2023-04-30,0.008333333333333333
2023-04-30,BUY,BCI,2023-04-30,0.008333333333333333
2023-04-30,BUY,BCP,2023-04-30,0.008333333333333333
2023-04-30,BUY,BOA,2023-04-30,0.008333333333333333
2023-04-30,BUY,CDM,2023-04-30,0.008333333333333333
2023-04-30,BUY,CRS,2023-04-30,0.008333333333333333
2023-04-30,BUY,DHO,2023-04-30,0.008333333333333333
2023-04-30,BUY,EQD,2023-04-30,0.008333333333333333
2023-04-30,BUY,INV,2023-04-30,0.008333333333333333
2023-04-30,BUY,JET,2023-04-30,0.008333333333333333
2023-04-30,BUY,MLE,2023-04-30,0.008333333333333333
2023-04-30,BUY,MOX,2023-04-30,0.008333333333333333
2023-04-30,BUY,RDS,2023-04-30,0.008333333333333333
2023-04-30,BUY,REB,2023-04-30,0.008333333333333333
2023-04-30,BUY,RIS,2023-04-30,0.008333333333333333
2023-04-30,BUY,SID,2023-04-30,0.008333333333333333
2023-04-30,BUY,SRM,2023-04-30,0.008333333333333333
2023-04-30,BUY,ZDJ,2023-04-30,0.008333333333333333
2023-05-31,SELL,ADI,2022-11-30,0.049999999999999996
2023-05-31,SELL,CDM,2022-11-30,0.049999999999999996
2023-05-31,SELL,JET,2022-11-30,0.049999999999999996
2023-05-31,BUY,ADH,2023-05-31,0.008333333333333333
2023-05-31,BUY,ADI,2023-05-31,0.008333333333333333
2023-05-31,BUY,ARD,2023-05-31,0.008333333333333333
2023-05-31,BUY,ATW,2023-05-31,0.008333333333333333
2023-05-31,BUY,BCI,2023-05-31,0.008333333333333333
2023-05-31,BUY,BCP,2023-05-31,0.008333333333333333
2023-05-31,BUY,CDM,2023-05-31,0.008333333333333333
2023-05-31,BUY,CRS,2023-05-31,0.008333333333333333
2023-05-31,BUY,DHO,2023-05-31,0.008333333333333333
2023-05-31,BUY,EQD,2023-05-31,0.008333333333333333
2023-05-31,BUY,INV,2023-05-31,0.008333333333333333
