period,months,cumulative_return,sharpe,max_drawdown,cell
Normalization (2013-2019),34,0.0,,0.0,VM2
COVID shock & aftershocks (2020-2021),24,0.0,,0.0,VM2
Inflation / rates shock (2022-2023),24,0.23529289646852902,1.0299462653328253,-0.09741852240411586,VM2
Post-2024 cycle (2024-2026),29,1.420594793859994,1.9268818860865207,-0.16533179302041323,VM2
Normalization (2013-2019),34,0.0,,0.0,C0a
COVID shock & aftershocks (2020-2021),24,0.0,,0.0,C0a
Inflation / rates shock (2022-2023),24,0.37198225773511107,1.0771698798396814,-0.13901244602814533,C0a
Post-2024 cycle (2024-2026),29,1.3390197536909874,1.9606141536224786,-0.1358063206031601,C0a
Normalization (2013-2019),34,0.0,,0.0,VM2_uncapped
COVID shock & aftershocks (2020-2021),24,0.0,,0.0,VM2_uncapped
Inflation / rates shock (2022-2023),24,0.24921610614213563,0.8097597881467737,-0.16395081875274886,VM2_uncapped
Post-2024 cycle (2024-2026),29,1.420594793859994,1.9268818860865207,-0.16533179302041323,VM2_uncapped
