Symbol,Year
AFI,2021
AFI,2022
AFI,2023
AFI,2024
AFI,2025
AGM,2021
ATL,2025
ATW,2021
ATW,2024
ATW,2025
BAL,2023
BCI,2021
BCI,2022
BCI,2023
BCI,2024
BCI,2025
BCP,2024
BCP,2025
BOA,2023
BOA,2024
BOA,2025
CAP,2021
CAP,2022
CAP,2023
CDM,2023
CDM,2024
CDM,2025
CFG,2021
CIH,2021
CIH,2022
CIH,2023
CIH,2024
CIH,2025
CMA,2025
CMG,2021
CMG,2022
CMG,2025
COL,2021
COL,2022
CRS,2021
CRS,2022
CRS,2023
CRS,2024
CRS,2025
CSR,2025
CTM,2021
CTM,2022
CTM,2023
CTM,2024
CTM,2025
FBR,2021
GTM,2021
GTM,2022
GTM,2023
HPS,2021
HPS,2022
HPS,2023
HPS,2024
HPS,2025
IAM,2021
IAM,2022
IAM,2023
IAM,2024
IAM,2025
INV,2023
INV,2024
INV,2025
LES,2021
LES,2022
LES,2023
LES,2024
LES,2025
MAB,2021
MAB,2022
MAB,2023
MAB,2024
MAB,2025
MLE,2021
MLE,2024
MLE,2025
MNG,2021
MNG,2022
MNG,2023
MOX,2021
MOX,2022
MOX,2023
MOX,2024
MOX,2025
MUT,2025
NKL,2025
RDS,2024
RDS,2025
S2M,2021
S2M,2022
S2M,2023
S2M,2024
S2M,2025
SAH,2025
SBM,2024
SBM,2025
SID,2025
SLF,2024
SLF,2025
SMI,2021
SMI,2023
SMI,2024
SMI,2025
SNP,2022
SNP,2023
SNP,2024
SNP,2025
SNP,2026
SOT,2021
SOT,2022
SOT,2023
SOT,2024
SOT,2025
SRM,2021
SRM,2022
SRM,2023
SRM,2024
SRM,2025
TGC,2021
TGC,2022
TGC,2023
TGC,2024
TGC,2025
TMA,2025
VCN,2021
VCN,2022
VCN,2023
VCN,2024
VCN,2025
ZDJ,2025
